mask,tp,fp,fn,tn,precision,recall,f1,iou,gt_positive_fraction,pred_positive_fraction
mask_1.h5,0,209,0,16175,0.0,,0.0,0.0,0.0,0.01275634765625
mask_2.h5,8,1,114,16261,0.8888888888888888,0.06557377049180328,0.12213740458015267,0.06504065040650407,0.0074462890625,0.00054931640625
mask_3.h5,391,111,526,15356,0.7788844621513944,0.42639040348964014,0.551092318534179,0.38035019455252916,0.05596923828125,0.0306396484375
mask_4.h5,37,35,393,15919,0.5138888888888888,0.08604651162790698,0.14741035856573706,0.07956989247311828,0.0262451171875,0.00439453125
mask_6.h5,388,71,585,15340,0.8453159041394336,0.3987667009249743,0.5418994413407822,0.3716475095785441,0.05938720703125,0.02801513671875
mask_7.h5,239,158,359,15628,0.6020151133501259,0.3996655518394649,0.48040201005025124,0.31613756613756616,0.0364990234375,0.02423095703125
mask_8.h5,52,25,82,16225,0.6753246753246753,0.3880597014925373,0.4928909952606635,0.3270440251572327,0.0081787109375,0.00469970703125
mask_9.h5,48,10,27,16299,0.8275862068965517,0.64,0.7218045112781954,0.5647058823529412,0.00457763671875,0.0035400390625
mask_10.h5,425,215,80,15664,0.6640625,0.8415841584158416,0.74235807860262,0.5902777777777778,0.03082275390625,0.0390625
mask_11.h5,164,655,50,15515,0.20024420024420025,0.7663551401869159,0.31752178121974833,0.18872266973532797,0.0130615234375,0.04998779296875
mask_12.h5,0,1,0,16383,0.0,,0.0,0.0,0.0,6.103515625e-05
mask_13.h5,0,1395,0,14989,0.0,,0.0,0.0,0.0,0.08514404296875
mask_14.h5,13,9,13,16349,0.5909090909090909,0.5,0.5416666666666666,0.37142857142857144,0.0015869140625,0.0013427734375
mask_16.h5,292,448,124,15520,0.3945945945945946,0.7019230769230769,0.5051903114186851,0.33796296296296297,0.025390625,0.045166015625
mask_17.h5,0,6,8,16370,0.0,0.0,0.0,0.0,0.00048828125,0.0003662109375
mask_19.h5,16,49,2,16317,0.24615384615384617,0.8888888888888888,0.3855421686746988,0.23880597014925373,0.0010986328125,0.00396728515625
mask_20.h5,707,331,181,15165,0.6811175337186898,0.7961711711711712,0.7341640706126688,0.5799835931091059,0.05419921875,0.0633544921875
mask_22.h5,0,39,0,16345,0.0,,0.0,0.0,0.0,0.00238037109375
mask_23.h5,0,61,0,16323,0.0,,0.0,0.0,0.0,0.00372314453125
mask_24.h5,21,11,32,16320,0.65625,0.39622641509433965,0.49411764705882355,0.328125,0.00323486328125,0.001953125
mask_25.h5,0,57,0,16327,0.0,,0.0,0.0,0.0,0.00347900390625
mask_27.h5,0,3,0,16381,0.0,,0.0,0.0,0.0,0.00018310546875
mask_29.h5,21,4,623,15736,0.84,0.03260869565217391,0.06278026905829596,0.032407407407407406,0.039306640625,0.00152587890625
mask_30.h5,0,35,0,16349,0.0,,0.0,0.0,0.0,0.00213623046875
mask_31.h5,0,55,0,16329,0.0,,0.0,0.0,0.0,0.00335693359375
mask_32.h5,258,207,196,15723,0.5548387096774193,0.5682819383259912,0.5614798694232862,0.3903177004538578,0.0277099609375,0.02838134765625
mask_33.h5,0,123,0,16261,0.0,,0.0,0.0,0.0,0.00750732421875
mask_34.h5,230,342,13,15799,0.4020979020979021,0.9465020576131687,0.5644171779141104,0.39316239316239315,0.01483154296875,0.034912109375
mask_35.h5,290,124,58,15912,0.7004830917874396,0.8333333333333334,0.7611548556430446,0.614406779661017,0.021240234375,0.0252685546875
mask_36.h5,138,44,2,16200,0.7582417582417582,0.9857142857142858,0.8571428571428571,0.75,0.008544921875,0.0111083984375
mask_37.h5,0,93,0,16291,0.0,,0.0,0.0,0.0,0.00567626953125
mask_38.h5,215,155,36,15978,0.581081081081081,0.8565737051792829,0.6924315619967794,0.5295566502463054,0.01531982421875,0.0225830078125
mask_39.h5,0,16,0,16368,0.0,,0.0,0.0,0.0,0.0009765625
mask_40.h5,40,798,3,15543,0.0477326968973747,0.9302325581395349,0.09080590238365494,0.04756242568370987,0.00262451171875,0.0511474609375
mask_41.h5,0,43,0,16341,0.0,,0.0,0.0,0.0,0.00262451171875
mask_42.h5,0,23,0,16361,0.0,,0.0,0.0,0.0,0.00140380859375
mask_43.h5,0,698,0,15686,0.0,,0.0,0.0,0.0,0.0426025390625
mask_44.h5,384,102,81,15817,0.7901234567901234,0.8258064516129032,0.807570977917981,0.6772486772486772,0.02838134765625,0.0296630859375
mask_45.h5,0,109,0,16275,0.0,,0.0,0.0,0.0,0.00665283203125
mask_46.h5,13,107,9,16255,0.10833333333333334,0.5909090909090909,0.18309859154929578,0.10077519379844961,0.0013427734375,0.00732421875
mask_47.h5,0,117,0,16267,0.0,,0.0,0.0,0.0,0.00714111328125
mask_48.h5,256,229,34,15865,0.5278350515463918,0.8827586206896552,0.6606451612903226,0.4932562620423892,0.0177001953125,0.02960205078125
mask_49.h5,35,1,16,16332,0.9722222222222222,0.6862745098039216,0.8045977011494253,0.6730769230769231,0.00311279296875,0.002197265625
mask_50.h5,0,24,0,16360,0.0,,0.0,0.0,0.0,0.00146484375
mask_51.h5,6911,127,982,8364,0.9819551008809321,0.8755859622450273,0.9257250016743688,0.861720698254364,0.48175048828125,0.4295654296875
mask_52.h5,90,493,31,15770,0.15437392795883362,0.743801652892562,0.2556818181818182,0.1465798045602606,0.00738525390625,0.03558349609375
mask_53.h5,51,45,214,16074,0.53125,0.19245283018867926,0.28254847645429365,0.16451612903225807,0.01617431640625,0.005859375
mask_54.h5,136,146,50,16052,0.48226950354609927,0.7311827956989247,0.5811965811965812,0.40963855421686746,0.0113525390625,0.0172119140625
mask_55.h5,333,117,397,15537,0.74,0.45616438356164385,0.5644067796610169,0.39315230224321135,0.0445556640625,0.0274658203125
mask_56.h5,100,219,15,16050,0.31347962382445144,0.8695652173913043,0.4608294930875576,0.2994011976047904,0.00701904296875,0.01947021484375
mask_57.h5,24,7,10,16343,0.7741935483870968,0.7058823529411765,0.7384615384615385,0.5853658536585366,0.0020751953125,0.00189208984375
mask_58.h5,21,0,13,16350,1.0,0.6176470588235294,0.7636363636363637,0.6176470588235294,0.0020751953125,0.00128173828125
mask_59.h5,358,226,107,15693,0.613013698630137,0.7698924731182796,0.6825548141086749,0.5180897250361794,0.02838134765625,0.03564453125
mask_60.h5,0,23,0,16361,0.0,,0.0,0.0,0.0,0.00140380859375
mask_61.h5,138,116,13,16117,0.5433070866141733,0.9139072847682119,0.6814814814814815,0.5168539325842697,0.00921630859375,0.0155029296875
mask_63.h5,45,72,6,16261,0.38461538461538464,0.8823529411764706,0.5357142857142857,0.36585365853658536,0.00311279296875,0.00714111328125
mask_64.h5,111,51,33,16189,0.6851851851851852,0.7708333333333334,0.7254901960784313,0.5692307692307692,0.0087890625,0.0098876953125
mask_65.h5,82,11,10,16281,0.8817204301075269,0.8913043478260869,0.8864864864864865,0.7961165048543689,0.005615234375,0.00567626953125
mask_66.h5,40,71,31,16242,0.36036036036036034,0.5633802816901409,0.43956043956043955,0.28169014084507044,0.00433349609375,0.00677490234375
mask_67.h5,0,333,0,16051,0.0,,0.0,0.0,0.0,0.02032470703125
mask_68.h5,0,5,0,16379,0.0,,0.0,0.0,0.0,0.00030517578125
mask_69.h5,6,59,13,16306,0.09230769230769231,0.3157894736842105,0.14285714285714285,0.07692307692307693,0.00115966796875,0.00396728515625
mask_70.h5,0,2,0,16382,0.0,,0.0,0.0,0.0,0.0001220703125
mask_72.h5,10,163,25,16186,0.057803468208092484,0.2857142857142857,0.09615384615384616,0.050505050505050504,0.00213623046875,0.01055908203125
mask_73.h5,32,2,13,16337,0.9411764705882353,0.7111111111111111,0.810126582278481,0.6808510638297872,0.00274658203125,0.0020751953125
mask_74.h5,36,10,24,16314,0.782608695652174,0.6,0.6792452830188679,0.5142857142857142,0.003662109375,0.0028076171875
mask_75.h5,365,378,401,15240,0.49125168236877526,0.4765013054830287,0.48376408217362493,0.31905594405594406,0.0467529296875,0.04534912109375
mask_76.h5,0,3,0,16381,0.0,,0.0,0.0,0.0,0.00018310546875
mask_77.h5,9,7,388,15980,0.5625,0.022670025188916875,0.043583535108958835,0.022277227722772276,0.02423095703125,0.0009765625
mask_78.h5,0,7,0,16377,0.0,,0.0,0.0,0.0,0.00042724609375
mask_79.h5,500,131,86,15667,0.7923930269413629,0.8532423208191127,0.8216926869350862,0.697350069735007,0.0357666015625,0.03851318359375
mask_80.h5,1720,915,118,13631,0.6527514231499051,0.9357997823721437,0.7690587972278113,0.624772974936433,0.1121826171875,0.16082763671875
