mask,tp_plain,fp_plain,fn_plain,tn_plain,precision_plain,recall_plain,f1_plain,iou_plain,gt_positive_fraction_plain,pred_positive_fraction_plain,tp_efficientnet,fp_efficientnet,fn_efficientnet,tn_efficientnet,precision_efficientnet,recall_efficientnet,f1_efficientnet,iou_efficientnet,gt_positive_fraction_efficientnet,pred_positive_fraction_efficientnet,f1_change,precision_change,recall_change,iou_change,fp_change,fn_change,pred_positive_fraction_change
mask_1.h5,0,209,0,16175,0.0,,0.0,0.0,0.0,0.01275634765625,0,154,0,16230,0.0,,0.0,0.0,0.0,0.0093994140625,0.0,0.0,,0.0,-55,0,-0.00335693359375
mask_2.h5,8,1,114,16261,0.8888888888888888,0.06557377049180328,0.12213740458015267,0.06504065040650407,0.0074462890625,0.00054931640625,12,0,110,16262,1.0,0.09836065573770492,0.1791044776119403,0.09836065573770492,0.0074462890625,0.000732421875,0.05696707303178762,0.11111111111111116,0.032786885245901634,0.033320005331200844,-1,-4,0.00018310546875
mask_3.h5,391,111,526,15356,0.7788844621513944,0.42639040348964014,0.551092318534179,0.38035019455252916,0.05596923828125,0.0306396484375,341,76,576,15391,0.8177458033573142,0.3718647764449291,0.5112443778110944,0.3434038267875126,0.05596923828125,0.02545166015625,-0.03984794072308451,0.038861341205919775,-0.054525627044711034,-0.036946367765016586,-35,50,-0.00518798828125
mask_4.h5,37,35,393,15919,0.5138888888888888,0.08604651162790698,0.14741035856573706,0.07956989247311828,0.0262451171875,0.00439453125,32,7,398,15947,0.8205128205128205,0.07441860465116279,0.13646055437100213,0.07322654462242563,0.0262451171875,0.00238037109375,-0.01094980419473493,0.30662393162393164,-0.011627906976744193,-0.006343347850692654,-28,5,-0.00201416015625
mask_5.h5,0,0,0,16384,,,,,0.0,0.0,0,0,0,16384,,,,,0.0,0.0,,,,,0,0,0.0
mask_6.h5,388,71,585,15340,0.8453159041394336,0.3987667009249743,0.5418994413407822,0.3716475095785441,0.05938720703125,0.02801513671875,308,40,665,15371,0.8850574712643678,0.31654676258992803,0.4663133989401968,0.3040473840078973,0.05938720703125,0.021240234375,-0.07558604240058536,0.03974156712493426,-0.08221993833504626,-0.06760012557064676,-31,80,-0.00677490234375
mask_7.h5,239,158,359,15628,0.6020151133501259,0.3996655518394649,0.48040201005025124,0.31613756613756616,0.0364990234375,0.02423095703125,217,114,381,15672,0.6555891238670695,0.362876254180602,0.4671689989235737,0.3047752808988764,0.0364990234375,0.02020263671875,-0.013233011126677519,0.05357401051694355,-0.03678929765886291,-0.011362285238689762,-44,22,-0.0040283203125
mask_8.h5,52,25,82,16225,0.6753246753246753,0.3880597014925373,0.4928909952606635,0.3270440251572327,0.0081787109375,0.00469970703125,37,9,97,16241,0.8043478260869565,0.27611940298507465,0.4111111111111111,0.25874125874125875,0.0081787109375,0.0028076171875,-0.0817798841495524,0.1290231507622812,-0.11194029850746268,-0.06830276641597394,-16,15,-0.00189208984375
mask_9.h5,48,10,27,16299,0.8275862068965517,0.64,0.7218045112781954,0.5647058823529412,0.00457763671875,0.0035400390625,64,39,11,16270,0.6213592233009708,0.8533333333333334,0.7191011235955056,0.5614035087719298,0.00457763671875,0.00628662109375,-0.0027033876826898506,-0.2062269835955809,0.21333333333333337,-0.0033023735810113752,29,-16,0.00274658203125
mask_10.h5,425,215,80,15664,0.6640625,0.8415841584158416,0.74235807860262,0.5902777777777778,0.03082275390625,0.0390625,363,83,142,15796,0.8139013452914798,0.7188118811881188,0.7634069400630915,0.6173469387755102,0.03082275390625,0.0272216796875,0.02104886146047147,0.14983884529147984,-0.12277227722772277,0.027069160997732378,-132,62,-0.0118408203125
mask_11.h5,164,655,50,15515,0.20024420024420025,0.7663551401869159,0.31752178121974833,0.18872266973532797,0.0130615234375,0.04998779296875,137,374,77,15796,0.26810176125244617,0.6401869158878505,0.3779310344827586,0.23299319727891157,0.0130615234375,0.03118896484375,0.060409253263010276,0.06785756100824591,-0.12616822429906538,0.0442705275435836,-281,27,-0.018798828125
mask_12.h5,0,1,0,16383,0.0,,0.0,0.0,0.0,6.103515625e-05,0,3,0,16381,0.0,,0.0,0.0,0.0,0.00018310546875,0.0,0.0,,0.0,2,0,0.0001220703125
mask_13.h5,0,1395,0,14989,0.0,,0.0,0.0,0.0,0.08514404296875,0,185,0,16199,0.0,,0.0,0.0,0.0,0.01129150390625,0.0,0.0,,0.0,-1210,0,-0.0738525390625
mask_14.h5,13,9,13,16349,0.5909090909090909,0.5,0.5416666666666666,0.37142857142857144,0.0015869140625,0.0013427734375,4,6,22,16352,0.4,0.15384615384615385,0.2222222222222222,0.125,0.0015869140625,0.0006103515625,-0.3194444444444444,-0.19090909090909092,-0.34615384615384615,-0.24642857142857144,-3,9,-0.000732421875
mask_15.h5,0,0,0,16384,,,,,0.0,0.0,0,1,0,16383,0.0,,0.0,0.0,0.0,6.103515625e-05,,,,,1,0,6.103515625e-05
mask_16.h5,292,448,124,15520,0.3945945945945946,0.7019230769230769,0.5051903114186851,0.33796296296296297,0.025390625,0.045166015625,241,300,175,15668,0.4454713493530499,0.5793269230769231,0.5036572622779519,0.3365921787709497,0.025390625,0.03302001953125,-0.001533049140733156,0.05087675475845527,-0.12259615384615374,-0.0013707841920132524,-148,51,-0.01214599609375
