patch_id,patch_path,tile_name,slope_stratum,distance_stratum,mean_slope_degrees,distance_to_positive_m,manual_terrain_category,allowed_categories,review_notes,evidence_status
legacy_USGS_LPC_OR_WesternWildfires_A22_s04560w14400_r000000_c001536,patches\train\legacy_USGS_LPC_OR_WesternWildfires_A22_s04560w14400_r000000_c001536.npz,USGS_LPC_OR_WesternWildfires_A22_s04560w14400.laz,0,0,11.114903450012207,99.0,unreviewed,steep_non_landslide_slope;drainage_or_valley_side;ridge_or_convex_terrain;rough_natural_terrain;road_or_engineered_cut;forest_management_disturbance;other,,requires_visual_or_ancillary_review
legacy_USGS_LPC_OR_WesternWildfires_A22_s04620w13770_r000896_c000256,patches\train\legacy_USGS_LPC_OR_WesternWildfires_A22_s04620w13770_r000896_c000256.npz,USGS_LPC_OR_WesternWildfires_A22_s04620w13770.laz,0,0,14.970752716064453,208.80732745763498,unreviewed,steep_non_landslide_slope;drainage_or_valley_side;ridge_or_convex_terrain;rough_natural_terrain;road_or_engineered_cut;forest_management_disturbance;other,,requires_visual_or_ancillary_review
legacy_USGS_LPC_OR_WesternWildfires_A22_s04680w13380_r001408_c001024,patches\train\legacy_USGS_LPC_OR_WesternWildfires_A22_s04680w13380_r001408_c001024.npz,USGS_LPC_OR_WesternWildfires_A22_s04680w13380.laz,0,0,23.55562400817871,212.85734659625916,unreviewed,steep_non_landslide_slope;drainage_or_valley_side;ridge_or_convex_terrain;rough_natural_terrain;road_or_engineered_cut;forest_management_disturbance;other,,requires_visual_or_ancillary_review
legacy_USGS_LPC_OR_WesternWildfires_A22_s05040w13830_r000896_c001280,patches\train\legacy_USGS_LPC_OR_WesternWildfires_A22_s05040w13830_r000896_c001280.npz,USGS_LPC_OR_WesternWildfires_A22_s05040w13830.laz,0,0,21.80335807800293,196.5,unreviewed,steep_non_landslide_slope;drainage_or_valley_side;ridge_or_convex_terrain;rough_natural_terrain;road_or_engineered_cut;forest_management_disturbance;other,,requires_visual_or_ancillary_review
legacy_USGS_LPC_OR_WesternWildfires_A22_s05070w13830_r000384_c001664,patches\train\legacy_USGS_LPC_OR_WesternWildfires_A22_s05070w13830_r000384_c001664.npz,USGS_LPC_OR_WesternWildfires_A22_s05070w13830.laz,0,0,22.828405380249023,95.11703317492615,unreviewed,steep_non_landslide_slope;drainage_or_valley_side;ridge_or_convex_terrain;rough_natural_terrain;road_or_engineered_cut;forest_management_disturbance;other,,requires_visual_or_ancillary_review
legacy_USGS_LPC_OR_WesternWildfires_A22_s04560w14400_r000000_c001664,patches\train\legacy_USGS_LPC_OR_WesternWildfires_A22_s04560w14400_r000000_c001664.npz,USGS_LPC_OR_WesternWildfires_A22_s04560w14400.laz,0,1,11.264312744140625,291.0,unreviewed,steep_non_landslide_slope;drainage_or_valley_side;ridge_or_convex_terrain;rough_natural_terrain;road_or_engineered_cut;forest_management_disturbance;other,,requires_visual_or_ancillary_review
legacy_USGS_LPC_OR_WesternWildfires_A22_s04620w13770_r000256_c001408,patches\train\legacy_USGS_LPC_OR_WesternWildfires_A22_s04620w13770_r000256_c001408.npz,USGS_LPC_OR_WesternWildfires_A22_s04620w13770.laz,0,1,22.930789947509766,412.90343907504575,unreviewed,steep_non_landslide_slope;drainage_or_valley_side;ridge_or_convex_terrain;rough_natural_terrain;road_or_engineered_cut;forest_management_disturbance;other,,requires_visual_or_ancillary_review
legacy_USGS_LPC_OR_WesternWildfires_A22_s05130w13650_r000256_c001280,patches\train\legacy_USGS_LPC_OR_WesternWildfires_A22_s05130w13650_r000256_c001280.npz,USGS_LPC_OR_WesternWildfires_A22_s05130w13650.laz,0,1,20.1599063873291,281.0769467601354,unreviewed,steep_non_landslide_slope;drainage_or_valley_side;ridge_or_convex_terrain;rough_natural_terrain;road_or_engineered_cut;forest_management_disturbance;other,,requires_visual_or_ancillary_review
legacy_USGS_LPC_OR_WesternWildfires_A22_s04560w14400_r000128_c001664,patches\train\legacy_USGS_LPC_OR_WesternWildfires_A22_s04560w14400_r000128_c001664.npz,USGS_LPC_OR_WesternWildfires_A22_s04560w14400.laz,0,1,8.91754150390625,340.10660093564786,unreviewed,steep_non_landslide_slope;drainage_or_valley_side;ridge_or_convex_terrain;rough_natural_terrain;road_or_engineered_cut;forest_management_disturbance;other,,requires_visual_or_ancillary_review
legacy_USGS_LPC_OR_WesternWildfires_A22_s04560w14400_r000256_c001536,patches\train\legacy_USGS_LPC_OR_WesternWildfires_A22_s04560w14400_r000256_c001536.npz,USGS_LPC_OR_WesternWildfires_A22_s04560w14400.laz,0,1,22.293071746826172,305.2232789287213,unreviewed,steep_non_landslide_slope;drainage_or_valley_side;ridge_or_convex_terrain;rough_natural_terrain;road_or_engineered_cut;forest_management_disturbance;other,,requires_visual_or_ancillary_review
