field,value,rows
region_id,legacy,567
region_role,train_val,567
lidar_project,USGS_LPC_OR_WesternWildfires_A22_s05130w14070,81
lidar_project,USGS_LPC_OR_WesternWildfires_A22_s05040w13830,80
lidar_project,USGS_LPC_OR_WesternWildfires_A22_s04560w14400,72
lidar_project,USGS_LPC_OR_WesternWildfires_A22_s05070w13830,65
lidar_project,USGS_LPC_OR_WesternWildfires_A22_s04620w13770,40
lidar_project,USGS_LPC_OR_WesternWildfires_A22_s05130w13650,39
lidar_project,USGS_LPC_OR_WesternWildfires_A22_s05160w13530,38
lidar_project,USGS_LPC_OR_WesternWildfires_A22_s04680w13380,33
lidar_project,USGS_LPC_OR_WesternWildfires_A22_s04710w14520,33
lidar_project,USGS_LPC_OR_WesternWildfires_A22_s05100w13680,25
lidar_project,USGS_LPC_OR_WesternWildfires_A22_s04410w14130,11
lidar_project,USGS_LPC_OR_WesternWildfires_A22_s04380w14100,10
lidar_project,USGS_LPC_OR_WesternWildfires_A22_s04770w14130,10
lidar_project,USGS_LPC_OR_WesternWildfires_A22_s04950w13260,10
lidar_project,USGS_LPC_OR_WesternWildfires_A22_s04980w14280,10
lidar_project,USGS_LPC_OR_WesternWildfires_A22_s05070w14550,10
lidar_year,2020,567
lidar_year_source,cli_acquisition_override,567
lidar_acquisition_year,2020,567
lidar_acquisition_start_year,2020,567
lidar_acquisition_end_year,2020,567
lidar_acquisition_source,User-confirmed Tillamook A22 project metadata,567
lidar_acquisition_evidence,regions/tillamook_lidar_acquisition.md,567
lidar_acquisition_verified,true,567
lidar_file_creation_year,2024,567
lidar_inferred_year_hint,2022,567
lidar_inferred_year_hint_source,project_name,567
label_quality,negative,281
label_quality,accepted_with_ignore,277
label_quality,accepted,9
