split,x_bin,y_bin,x_min,x_max,y_min,y_max,patches,positive_patches,unique_tiles,unique_polygon_keys
train,1,0,454291.2000000002,470390.4000000004,1326313.5,1352574.3000000003,17,5,1,2
train,1,1,454291.2000000002,470390.4000000004,1352574.3000000003,1378835.1000000003,31,13,1,4
train,1,2,454291.2000000002,470390.4000000004,1378835.1000000003,1405095.9000000006,9,1,1,1
train,1,4,454291.2000000002,470390.4000000004,1431356.7000000007,1457617.500000001,72,38,1,2
train,2,0,470390.4000000004,486489.60000000056,1326313.5,1352574.3000000003,16,8,1,2
train,2,3,470390.4000000004,486489.60000000056,1405095.9000000006,1431356.7000000007,10,0,1,0
train,3,0,486489.60000000056,502588.8000000008,1326313.5,1352574.3000000003,10,0,1,0
train,3,3,486489.60000000056,502588.8000000008,1405095.9000000006,1431356.7000000007,10,0,1,0
train,4,1,502588.8000000008,518688.000000001,1352574.3000000003,1378835.1000000003,102,62,3,8
train,4,2,502588.8000000008,518688.000000001,1378835.1000000003,1405095.9000000006,145,109,2,5
train,4,3,502588.8000000008,518688.000000001,1405095.9000000006,1431356.7000000007,81,36,1,1
train,4,4,502588.8000000008,518688.000000001,1431356.7000000007,1457617.500000001,10,0,1,0
validation,0,3,438192.0,454291.2000000002,1405095.9000000006,1431356.7000000007,21,1,2,1
validation,2,4,470390.4000000004,486489.60000000056,1431356.7000000007,1457617.500000001,33,13,1,2
