patch_id,split,category,tile_name,tile_path,patch_path,row_offset,col_offset,x_min,y_min,x_max,y_max,crs,positive_fraction,ground_fraction,mean_slope_degrees,distance_to_positive_m,is_hard_negative,landslide_ids_in_tile,slido_ref_ids_in_tile,qc_status,qc_notes,qc_page
USGS_LPC_OR_OLCMetro_2019_A19_w2052n2776_r000000_c000000,validation,positive_boundary,USGS_LPC_OR_OLCMetro_2019_A19_w2052n2776.laz,D:\LIDAR\oregon\oregon_lidar_pilot\USGS_LPC_OR_OLCMetro_2019_A19_w2052n2776.laz,patches\validation\USGS_LPC_OR_OLCMetro_2019_A19_w2052n2776_r000000_c000000.npz,0,0,-2052000.0,2776744.0,-2051744.0,2777000.0,"COMPD_CS[""NAD83(2011) / Conus Albers + NAVD88 height - Geoid12B (m)"",PROJCS[""NAD83(2011) / Conus Albers"",GEOGCS[""NAD83(2011)"",DATUM[""NAD83 (National Spatial Reference System 2011)"",SPHEROID[""GRS 1980"",6378137,298.257222101,AUTHORITY[""EPSG"",""7019""]],AUTHORITY[""EPSG"",""1116""]],PRIMEM[""Greenwich"",0,AUTHORITY[""EPSG"",""8901""]],UNIT[""degree"",0.0174532925199433,AUTHORITY[""EPSG"",""9122""]],AUTHORITY[""EPSG"",""6318""]],PROJECTION[""Albers_Conic_Equal_Area""],PARAMETER[""standard_parallel_1"",29.5],PARAMETER[""standard_parallel_2"",45.5],PARAMETER[""latitude_of_center"",23],PARAMETER[""longitude_of_center"",-96],PARAMETER[""false_easting"",0],PARAMETER[""false_northing"",0],UNIT[""meter"",1,AUTHORITY[""EPSG"",""9001""]],AXIS[""X"",EAST],AXIS[""Y"",NORTH],AUTHORITY[""EPSG"",""6350""]],VERT_CS[""NAVD88 height - Geoid12B (m)"",VERT_DATUM[""North American Vertical Datum 1988"",2005,AUTHORITY[""EPSG"",""5103""]],UNIT[""meter"",1,AUTHORITY[""EPSG"",""9001""]],AXIS[""Up"",UP],AUTHORITY[""EPSG"",""5703""]]]",0.058074951171875,0.7151031494140625,9.811365127563477,0.0,False,Gladstone_075;Gladstone_076;Gladstone_077;Gladstone_079;Gladstone_080;Gladstone_087;Gladstone_088,BurnWJ2012g,,,1
USGS_LPC_OR_OLCMetro_2019_A19_w2052n2774_r000128_c000640,train,negative,USGS_LPC_OR_OLCMetro_2019_A19_w2052n2774.laz,D:\LIDAR\oregon\oregon_lidar_pilot\USGS_LPC_OR_OLCMetro_2019_A19_w2052n2774.laz,patches\train\USGS_LPC_OR_OLCMetro_2019_A19_w2052n2774_r000128_c000640.npz,128,640,-2051360.0,2774616.0,-2051104.0,2774872.0,"COMPD_CS[""NAD83(2011) / Conus Albers + NAVD88 height - Geoid12B (m)"",PROJCS[""NAD83(2011) / Conus Albers"",GEOGCS[""NAD83(2011)"",DATUM[""NAD83 (National Spatial Reference System 2011)"",SPHEROID[""GRS 1980"",6378137,298.257222101,AUTHORITY[""EPSG"",""7019""]],AUTHORITY[""EPSG"",""1116""]],PRIMEM[""Greenwich"",0,AUTHORITY[""EPSG"",""8901""]],UNIT[""degree"",0.0174532925199433,AUTHORITY[""EPSG"",""9122""]],AUTHORITY[""EPSG"",""6318""]],PROJECTION[""Albers_Conic_Equal_Area""],PARAMETER[""standard_parallel_1"",29.5],PARAMETER[""standard_parallel_2"",45.5],PARAMETER[""latitude_of_center"",23],PARAMETER[""longitude_of_center"",-96],PARAMETER[""false_easting"",0],PARAMETER[""false_northing"",0],UNIT[""meter"",1,AUTHORITY[""EPSG"",""9001""]],AXIS[""X"",EAST],AXIS[""Y"",NORTH],AUTHORITY[""EPSG"",""6350""]],VERT_CS[""NAVD88 height - Geoid12B (m)"",VERT_DATUM[""North American Vertical Datum 1988"",2005,AUTHORITY[""EPSG"",""5103""]],UNIT[""meter"",1,AUTHORITY[""EPSG"",""9001""]],AXIS[""Up"",UP],AUTHORITY[""EPSG"",""5703""]]]",0.0,0.7749481201171875,5.587019920349121,225.32199182503248,False,Oregon_City_503;Oregon_City_532;Oregon_City_541;Oregon_City_560;Oregon_City_565,BurnWJ2010a,,,1
USGS_LPC_OR_OLCMetro_2019_A19_w2051n2779_r000000_c000384,train,positive_interior,USGS_LPC_OR_OLCMetro_2019_A19_w2051n2779.laz,D:\LIDAR\oregon\oregon_lidar_pilot\USGS_LPC_OR_OLCMetro_2019_A19_w2051n2779.laz,patches\train\USGS_LPC_OR_OLCMetro_2019_A19_w2051n2779_r000000_c000384.npz,0,384,-2050616.0,2779744.0,-2050360.0,2780000.0,"COMPD_CS[""NAD83(2011) / Conus Albers + NAVD88 height - Geoid12B (m)"",PROJCS[""NAD83(2011) / Conus Albers"",GEOGCS[""NAD83(2011)"",DATUM[""NAD83 (National Spatial Reference System 2011)"",SPHEROID[""GRS 1980"",6378137,298.257222101,AUTHORITY[""EPSG"",""7019""]],AUTHORITY[""EPSG"",""1116""]],PRIMEM[""Greenwich"",0,AUTHORITY[""EPSG"",""8901""]],UNIT[""degree"",0.0174532925199433,AUTHORITY[""EPSG"",""9122""]],AUTHORITY[""EPSG"",""6318""]],PROJECTION[""Albers_Conic_Equal_Area""],PARAMETER[""standard_parallel_1"",29.5],PARAMETER[""standard_parallel_2"",45.5],PARAMETER[""latitude_of_center"",23],PARAMETER[""longitude_of_center"",-96],PARAMETER[""false_easting"",0],PARAMETER[""false_northing"",0],UNIT[""meter"",1,AUTHORITY[""EPSG"",""9001""]],AXIS[""X"",EAST],AXIS[""Y"",NORTH],AUTHORITY[""EPSG"",""6350""]],VERT_CS[""NAVD88 height - Geoid12B (m)"",VERT_DATUM[""North American Vertical Datum 1988"",2005,AUTHORITY[""EPSG"",""5103""]],UNIT[""meter"",1,AUTHORITY[""EPSG"",""9001""]],AXIS[""Up"",UP],AUTHORITY[""EPSG"",""5703""]]]",0.5460662841796875,0.7025604248046875,15.111062049865723,0.0,False,Gladstone_122;Gladstone_123;Gladstone_207,BurnWJ2012g,,,1
USGS_LPC_OR_OLCMetro_2019_A19_w2052n2774_r000256_c000256,train,positive_boundary,USGS_LPC_OR_OLCMetro_2019_A19_w2052n2774.laz,D:\LIDAR\oregon\oregon_lidar_pilot\USGS_LPC_OR_OLCMetro_2019_A19_w2052n2774.laz,patches\train\USGS_LPC_OR_OLCMetro_2019_A19_w2052n2774_r000256_c000256.npz,256,256,-2051744.0,2774488.0,-2051488.0,2774744.0,"COMPD_CS[""NAD83(2011) / Conus Albers + NAVD88 height - Geoid12B (m)"",PROJCS[""NAD83(2011) / Conus Albers"",GEOGCS[""NAD83(2011)"",DATUM[""NAD83 (National Spatial Reference System 2011)"",SPHEROID[""GRS 1980"",6378137,298.257222101,AUTHORITY[""EPSG"",""7019""]],AUTHORITY[""EPSG"",""1116""]],PRIMEM[""Greenwich"",0,AUTHORITY[""EPSG"",""8901""]],UNIT[""degree"",0.0174532925199433,AUTHORITY[""EPSG"",""9122""]],AUTHORITY[""EPSG"",""6318""]],PROJECTION[""Albers_Conic_Equal_Area""],PARAMETER[""standard_parallel_1"",29.5],PARAMETER[""standard_parallel_2"",45.5],PARAMETER[""latitude_of_center"",23],PARAMETER[""longitude_of_center"",-96],PARAMETER[""false_easting"",0],PARAMETER[""false_northing"",0],UNIT[""meter"",1,AUTHORITY[""EPSG"",""9001""]],AXIS[""X"",EAST],AXIS[""Y"",NORTH],AUTHORITY[""EPSG"",""6350""]],VERT_CS[""NAVD88 height - Geoid12B (m)"",VERT_DATUM[""North American Vertical Datum 1988"",2005,AUTHORITY[""EPSG"",""5103""]],UNIT[""meter"",1,AUTHORITY[""EPSG"",""9001""]],AXIS[""Up"",UP],AUTHORITY[""EPSG"",""5703""]]]",0.0490570068359375,0.685638427734375,10.55301284790039,0.0,False,Oregon_City_503;Oregon_City_532;Oregon_City_541;Oregon_City_560;Oregon_City_565,BurnWJ2010a,,,1
USGS_LPC_OR_OLCMetro_2019_A19_w2051n2777_r000512_c000000,test,negative,USGS_LPC_OR_OLCMetro_2019_A19_w2051n2777.laz,D:\LIDAR\oregon\oregon_lidar_pilot\USGS_LPC_OR_OLCMetro_2019_A19_w2051n2777.laz,patches\test\USGS_LPC_OR_OLCMetro_2019_A19_w2051n2777_r000512_c000000.npz,512,0,-2051000.0,2777232.0,-2050744.0,2777488.0,"COMPD_CS[""NAD83(2011) / Conus Albers + NAVD88 height - Geoid12B (m)"",PROJCS[""NAD83(2011) / Conus Albers"",GEOGCS[""NAD83(2011)"",DATUM[""NAD83 (National Spatial Reference System 2011)"",SPHEROID[""GRS 1980"",6378137,298.257222101,AUTHORITY[""EPSG"",""7019""]],AUTHORITY[""EPSG"",""1116""]],PRIMEM[""Greenwich"",0,AUTHORITY[""EPSG"",""8901""]],UNIT[""degree"",0.0174532925199433,AUTHORITY[""EPSG"",""9122""]],AUTHORITY[""EPSG"",""6318""]],PROJECTION[""Albers_Conic_Equal_Area""],PARAMETER[""standard_parallel_1"",29.5],PARAMETER[""standard_parallel_2"",45.5],PARAMETER[""latitude_of_center"",23],PARAMETER[""longitude_of_center"",-96],PARAMETER[""false_easting"",0],PARAMETER[""false_northing"",0],UNIT[""meter"",1,AUTHORITY[""EPSG"",""9001""]],AXIS[""X"",EAST],AXIS[""Y"",NORTH],AUTHORITY[""EPSG"",""6350""]],VERT_CS[""NAVD88 height - Geoid12B (m)"",VERT_DATUM[""North American Vertical Datum 1988"",2005,AUTHORITY[""EPSG"",""5103""]],UNIT[""meter"",1,AUTHORITY[""EPSG"",""9001""]],AXIS[""Up"",UP],AUTHORITY[""EPSG"",""5703""]]]",0.0,0.819549560546875,4.172032356262207,130.0,False,Gladstone_095;Gladstone_164;Gladstone_182;Gladstone_184;Gladstone_202;Gladstone_216,BurnWJ2012g,,,1
USGS_LPC_OR_OLCMetro_2019_A19_w2051n2776_r000128_c000000,test,negative,USGS_LPC_OR_OLCMetro_2019_A19_w2051n2776.laz,D:\LIDAR\oregon\oregon_lidar_pilot\USGS_LPC_OR_OLCMetro_2019_A19_w2051n2776.laz,patches\test\USGS_LPC_OR_OLCMetro_2019_A19_w2051n2776_r000128_c000000.npz,128,0,-2051000.0,2776616.0,-2050744.0,2776872.0,"COMPD_CS[""NAD83(2011) / Conus Albers + NAVD88 height - Geoid12B (m)"",PROJCS[""NAD83(2011) / Conus Albers"",GEOGCS[""NAD83(2011)"",DATUM[""NAD83 (National Spatial Reference System 2011)"",SPHEROID[""GRS 1980"",6378137,298.257222101,AUTHORITY[""EPSG"",""7019""]],AUTHORITY[""EPSG"",""1116""]],PRIMEM[""Greenwich"",0,AUTHORITY[""EPSG"",""8901""]],UNIT[""degree"",0.0174532925199433,AUTHORITY[""EPSG"",""9122""]],AUTHORITY[""EPSG"",""6318""]],PROJECTION[""Albers_Conic_Equal_Area""],PARAMETER[""standard_parallel_1"",29.5],PARAMETER[""standard_parallel_2"",45.5],PARAMETER[""latitude_of_center"",23],PARAMETER[""longitude_of_center"",-96],PARAMETER[""false_easting"",0],PARAMETER[""false_northing"",0],UNIT[""meter"",1,AUTHORITY[""EPSG"",""9001""]],AXIS[""X"",EAST],AXIS[""Y"",NORTH],AUTHORITY[""EPSG"",""6350""]],VERT_CS[""NAVD88 height - Geoid12B (m)"",VERT_DATUM[""North American Vertical Datum 1988"",2005,AUTHORITY[""EPSG"",""5103""]],UNIT[""meter"",1,AUTHORITY[""EPSG"",""9001""]],AXIS[""Up"",UP],AUTHORITY[""EPSG"",""5703""]]]",0.0,0.5144805908203125,8.302921295166016,inf,True,,,,,1
USGS_LPC_OR_OLCMetro_2019_A19_w2052n2773_r000512_c000128,train,positive_boundary,USGS_LPC_OR_OLCMetro_2019_A19_w2052n2773.laz,D:\LIDAR\oregon\oregon_lidar_pilot\USGS_LPC_OR_OLCMetro_2019_A19_w2052n2773.laz,patches\train\USGS_LPC_OR_OLCMetro_2019_A19_w2052n2773_r000512_c000128.npz,512,128,-2051872.0,2773232.0,-2051616.0,2773488.0,"COMPD_CS[""NAD83(2011) / Conus Albers + NAVD88 height - Geoid12B (m)"",PROJCS[""NAD83(2011) / Conus Albers"",GEOGCS[""NAD83(2011)"",DATUM[""NAD83 (National Spatial Reference System 2011)"",SPHEROID[""GRS 1980"",6378137,298.257222101,AUTHORITY[""EPSG"",""7019""]],AUTHORITY[""EPSG"",""1116""]],PRIMEM[""Greenwich"",0,AUTHORITY[""EPSG"",""8901""]],UNIT[""degree"",0.0174532925199433,AUTHORITY[""EPSG"",""9122""]],AUTHORITY[""EPSG"",""6318""]],PROJECTION[""Albers_Conic_Equal_Area""],PARAMETER[""standard_parallel_1"",29.5],PARAMETER[""standard_parallel_2"",45.5],PARAMETER[""latitude_of_center"",23],PARAMETER[""longitude_of_center"",-96],PARAMETER[""false_easting"",0],PARAMETER[""false_northing"",0],UNIT[""meter"",1,AUTHORITY[""EPSG"",""9001""]],AXIS[""X"",EAST],AXIS[""Y"",NORTH],AUTHORITY[""EPSG"",""6350""]],VERT_CS[""NAVD88 height - Geoid12B (m)"",VERT_DATUM[""North American Vertical Datum 1988"",2005,AUTHORITY[""EPSG"",""5103""]],UNIT[""meter"",1,AUTHORITY[""EPSG"",""9001""]],AXIS[""Up"",UP],AUTHORITY[""EPSG"",""5703""]]]",0.0606536865234375,0.6626739501953125,15.419757843017578,0.0,False,Oregon_City_532;Oregon_City_557;Oregon_City_561,BurnWJ2010a,,,2
USGS_LPC_OR_OLCMetro_2019_A19_w2051n2779_r000256_c000512,train,positive_boundary,USGS_LPC_OR_OLCMetro_2019_A19_w2051n2779.laz,D:\LIDAR\oregon\oregon_lidar_pilot\USGS_LPC_OR_OLCMetro_2019_A19_w2051n2779.laz,patches\train\USGS_LPC_OR_OLCMetro_2019_A19_w2051n2779_r000256_c000512.npz,256,512,-2050488.0,2779488.0,-2050232.0,2779744.0,"COMPD_CS[""NAD83(2011) / Conus Albers + NAVD88 height - Geoid12B (m)"",PROJCS[""NAD83(2011) / Conus Albers"",GEOGCS[""NAD83(2011)"",DATUM[""NAD83 (National Spatial Reference System 2011)"",SPHEROID[""GRS 1980"",6378137,298.257222101,AUTHORITY[""EPSG"",""7019""]],AUTHORITY[""EPSG"",""1116""]],PRIMEM[""Greenwich"",0,AUTHORITY[""EPSG"",""8901""]],UNIT[""degree"",0.0174532925199433,AUTHORITY[""EPSG"",""9122""]],AUTHORITY[""EPSG"",""6318""]],PROJECTION[""Albers_Conic_Equal_Area""],PARAMETER[""standard_parallel_1"",29.5],PARAMETER[""standard_parallel_2"",45.5],PARAMETER[""latitude_of_center"",23],PARAMETER[""longitude_of_center"",-96],PARAMETER[""false_easting"",0],PARAMETER[""false_northing"",0],UNIT[""meter"",1,AUTHORITY[""EPSG"",""9001""]],AXIS[""X"",EAST],AXIS[""Y"",NORTH],AUTHORITY[""EPSG"",""6350""]],VERT_CS[""NAVD88 height - Geoid12B (m)"",VERT_DATUM[""North American Vertical Datum 1988"",2005,AUTHORITY[""EPSG"",""5103""]],UNIT[""meter"",1,AUTHORITY[""EPSG"",""9001""]],AXIS[""Up"",UP],AUTHORITY[""EPSG"",""5703""]]]",0.03753662109375,0.7760009765625,7.680719375610352,0.0,False,Gladstone_122;Gladstone_123;Gladstone_207,BurnWJ2012g,,,2
USGS_LPC_OR_OLCMetro_2019_A19_w2051n2777_r000256_c000000,test,positive_boundary,USGS_LPC_OR_OLCMetro_2019_A19_w2051n2777.laz,D:\LIDAR\oregon\oregon_lidar_pilot\USGS_LPC_OR_OLCMetro_2019_A19_w2051n2777.laz,patches\test\USGS_LPC_OR_OLCMetro_2019_A19_w2051n2777_r000256_c000000.npz,256,0,-2051000.0,2777488.0,-2050744.0,2777744.0,"COMPD_CS[""NAD83(2011) / Conus Albers + NAVD88 height - Geoid12B (m)"",PROJCS[""NAD83(2011) / Conus Albers"",GEOGCS[""NAD83(2011)"",DATUM[""NAD83 (National Spatial Reference System 2011)"",SPHEROID[""GRS 1980"",6378137,298.257222101,AUTHORITY[""EPSG"",""7019""]],AUTHORITY[""EPSG"",""1116""]],PRIMEM[""Greenwich"",0,AUTHORITY[""EPSG"",""8901""]],UNIT[""degree"",0.0174532925199433,AUTHORITY[""EPSG"",""9122""]],AUTHORITY[""EPSG"",""6318""]],PROJECTION[""Albers_Conic_Equal_Area""],PARAMETER[""standard_parallel_1"",29.5],PARAMETER[""standard_parallel_2"",45.5],PARAMETER[""latitude_of_center"",23],PARAMETER[""longitude_of_center"",-96],PARAMETER[""false_easting"",0],PARAMETER[""false_northing"",0],UNIT[""meter"",1,AUTHORITY[""EPSG"",""9001""]],AXIS[""X"",EAST],AXIS[""Y"",NORTH],AUTHORITY[""EPSG"",""6350""]],VERT_CS[""NAVD88 height - Geoid12B (m)"",VERT_DATUM[""North American Vertical Datum 1988"",2005,AUTHORITY[""EPSG"",""5103""]],UNIT[""meter"",1,AUTHORITY[""EPSG"",""9001""]],AXIS[""Up"",UP],AUTHORITY[""EPSG"",""5703""]]]",0.0253448486328125,0.75653076171875,6.952182769775391,0.0,False,Gladstone_095;Gladstone_164;Gladstone_182;Gladstone_184;Gladstone_202;Gladstone_216,BurnWJ2012g,,,2
USGS_LPC_OR_OLCMetro_2019_A19_w2052n2773_r000000_c000256,train,positive_interior,USGS_LPC_OR_OLCMetro_2019_A19_w2052n2773.laz,D:\LIDAR\oregon\oregon_lidar_pilot\USGS_LPC_OR_OLCMetro_2019_A19_w2052n2773.laz,patches\train\USGS_LPC_OR_OLCMetro_2019_A19_w2052n2773_r000000_c000256.npz,0,256,-2051744.0,2773744.0,-2051488.0,2774000.0,"COMPD_CS[""NAD83(2011) / Conus Albers + NAVD88 height - Geoid12B (m)"",PROJCS[""NAD83(2011) / Conus Albers"",GEOGCS[""NAD83(2011)"",DATUM[""NAD83 (National Spatial Reference System 2011)"",SPHEROID[""GRS 1980"",6378137,298.257222101,AUTHORITY[""EPSG"",""7019""]],AUTHORITY[""EPSG"",""1116""]],PRIMEM[""Greenwich"",0,AUTHORITY[""EPSG"",""8901""]],UNIT[""degree"",0.0174532925199433,AUTHORITY[""EPSG"",""9122""]],AUTHORITY[""EPSG"",""6318""]],PROJECTION[""Albers_Conic_Equal_Area""],PARAMETER[""standard_parallel_1"",29.5],PARAMETER[""standard_parallel_2"",45.5],PARAMETER[""latitude_of_center"",23],PARAMETER[""longitude_of_center"",-96],PARAMETER[""false_easting"",0],PARAMETER[""false_northing"",0],UNIT[""meter"",1,AUTHORITY[""EPSG"",""9001""]],AXIS[""X"",EAST],AXIS[""Y"",NORTH],AUTHORITY[""EPSG"",""6350""]],VERT_CS[""NAVD88 height - Geoid12B (m)"",VERT_DATUM[""North American Vertical Datum 1988"",2005,AUTHORITY[""EPSG"",""5103""]],UNIT[""meter"",1,AUTHORITY[""EPSG"",""9001""]],AXIS[""Up"",UP],AUTHORITY[""EPSG"",""5703""]]]",0.3880767822265625,0.6138458251953125,13.95233154296875,0.0,False,Oregon_City_532;Oregon_City_557;Oregon_City_561,BurnWJ2010a,,,2
