tile_name,expected_bytes,actual_bytes,path,status,download_url
USGS_LPC_OR_WesternWildfires_A22_s05220w14040.laz,166036314,166036314,F:\LIDAR\oregon\lidar_tiles\tillamook_expansion_100\USGS_LPC_OR_WesternWildfires_A22_s05220w14040.laz,OK,https://rockyweb.usgs.gov/vdelivery/Datasets/Staged/Elevation/LPC/Projects/OR_WesternWildfires_A22/OR_WWildfires_2_A22/LAZ/USGS_LPC_OR_WesternWildfires_A22_s05220w14040.laz
USGS_LPC_OR_WesternWildfires_A22_s05160w14040.laz,195360572,195360572,F:\LIDAR\oregon\lidar_tiles\tillamook_expansion_100\USGS_LPC_OR_WesternWildfires_A22_s05160w14040.laz,OK,https://rockyweb.usgs.gov/vdelivery/Datasets/Staged/Elevation/LPC/Projects/OR_WesternWildfires_A22/OR_WWildfires_2_A22/LAZ/USGS_LPC_OR_WesternWildfires_A22_s05160w14040.laz
USGS_LPC_OR_WesternWildfires_A22_s04410w13980.laz,137817005,137817005,F:\LIDAR\oregon\lidar_tiles\tillamook_expansion_100\USGS_LPC_OR_WesternWildfires_A22_s04410w13980.laz,OK,https://rockyweb.usgs.gov/vdelivery/Datasets/Staged/Elevation/LPC/Projects/OR_WesternWildfires_A22/OR_WWildfires_2_A22/LAZ/USGS_LPC_OR_WesternWildfires_A22_s04410w13980.laz
USGS_LPC_OR_WesternWildfires_A22_s04860w13710.laz,216487368,216487368,F:\LIDAR\oregon\lidar_tiles\tillamook_expansion_100\USGS_LPC_OR_WesternWildfires_A22_s04860w13710.laz,OK,https://rockyweb.usgs.gov/vdelivery/Datasets/Staged/Elevation/LPC/Projects/OR_WesternWildfires_A22/OR_WWildfires_2_A22/LAZ/USGS_LPC_OR_WesternWildfires_A22_s04860w13710.laz
USGS_LPC_OR_WesternWildfires_A22_s05190w14070.laz,178739708,178739708,F:\LIDAR\oregon\lidar_tiles\tillamook_expansion_100\USGS_LPC_OR_WesternWildfires_A22_s05190w14070.laz,OK,https://rockyweb.usgs.gov/vdelivery/Datasets/Staged/Elevation/LPC/Projects/OR_WesternWildfires_A22/OR_WWildfires_2_A22/LAZ/USGS_LPC_OR_WesternWildfires_A22_s05190w14070.laz
USGS_LPC_OR_WesternWildfires_A22_s04800w13650.laz,161166153,161166153,F:\LIDAR\oregon\lidar_tiles\tillamook_expansion_100\USGS_LPC_OR_WesternWildfires_A22_s04800w13650.laz,OK,https://rockyweb.usgs.gov/vdelivery/Datasets/Staged/Elevation/LPC/Projects/OR_WesternWildfires_A22/OR_WWildfires_2_A22/LAZ/USGS_LPC_OR_WesternWildfires_A22_s04800w13650.laz
USGS_LPC_OR_WesternWildfires_A22_s05220w14070.laz,124805762,124805762,F:\LIDAR\oregon\lidar_tiles\tillamook_expansion_100\USGS_LPC_OR_WesternWildfires_A22_s05220w14070.laz,OK,https://rockyweb.usgs.gov/vdelivery/Datasets/Staged/Elevation/LPC/Projects/OR_WesternWildfires_A22/OR_WWildfires_2_A22/LAZ/USGS_LPC_OR_WesternWildfires_A22_s05220w14070.laz
USGS_LPC_OR_WesternWildfires_A22_s05160w14070.laz,176515682,176515682,F:\LIDAR\oregon\probe_lidar\tillamook_probe\USGS_LPC_OR_WesternWildfires_A22\USGS_LPC_OR_WesternWildfires_A22_s05160w14070.laz,OK,https://rockyweb.usgs.gov/vdelivery/Datasets/Staged/Elevation/LPC/Projects/OR_WesternWildfires_A22/OR_WWildfires_2_A22/LAZ/USGS_LPC_OR_WesternWildfires_A22_s05160w14070.laz
USGS_LPC_OR_WesternWildfires_A22_s05280w14100.laz,157271433,157271433,F:\LIDAR\oregon\lidar_tiles\tillamook_expansion_100\USGS_LPC_OR_WesternWildfires_A22_s05280w14100.laz,OK,https://rockyweb.usgs.gov/vdelivery/Datasets/Staged/Elevation/LPC/Projects/OR_WesternWildfires_A22/OR_WWildfires_2_A22/LAZ/USGS_LPC_OR_WesternWildfires_A22_s05280w14100.laz
USGS_LPC_OR_WesternWildfires_A22_s05190w14040.laz,187142780,187142780,F:\LIDAR\oregon\lidar_tiles\tillamook_expansion_100\USGS_LPC_OR_WesternWildfires_A22_s05190w14040.laz,OK,https://rockyweb.usgs.gov/vdelivery/Datasets/Staged/Elevation/LPC/Projects/OR_WesternWildfires_A22/OR_WWildfires_2_A22/LAZ/USGS_LPC_OR_WesternWildfires_A22_s05190w14040.laz
