split,polygon_key,patch_memberships,unique_tiles,boundary_patch_memberships,coverage_classes,positive_fraction_min,positive_fraction_median,positive_fraction_max
train,Tillamook_2053,36,1,36,full_positive;low_coverage_positive;mixed_positive;near_full_positive,0.0114288330078,0.553726196289,0.998397827148
train,Tillamook_2276,20,1,20,mixed_positive;near_full_positive,0.12548828125,0.4540939331055,0.942459106445
train,Tillamook_2282,55,1,55,full_positive;low_coverage_positive;mixed_positive;near_full_positive,0.0233154296875,0.45768737793,0.999237060547
train,Tillamook_2283,42,1,40,full_positive;low_coverage_positive;mixed_positive;near_full_positive,0.0121002197266,0.5628509521485,1.0
train,Tillamook_2284,1,1,1,low_coverage_positive,0.0548400878906,0.0548400878906,0.0548400878906
train,Tillamook_2294,1,1,1,mixed_positive,0.764373779297,0.764373779297,0.764373779297
train,Tillamook_2498,1,1,1,mixed_positive,0.107345581055,0.107345581055,0.107345581055
train,Tillamook_2499,1,1,1,low_coverage_positive,0.0179290771484,0.0179290771484,0.0179290771484
train,Tillamook_2501,3,1,3,low_coverage_positive;mixed_positive,0.0290985107422,0.202880859375,0.218017578125
train,Tillamook_2544,4,1,4,low_coverage_positive;mixed_positive,0.0545196533203,0.0943603515623,0.138656616211
train,Tillamook_2553,16,1,16,low_coverage_positive;mixed_positive,0.010009765625,0.1916580200195,0.899459838867
train,Tillamook_2559,11,1,9,full_positive;low_coverage_positive;mixed_positive;near_full_positive,0.05029296875,0.356246948242,1.0
train,Tillamook_2560,1,1,0,full_positive,1.0,1.0,1.0
train,Tillamook_2562,22,1,20,full_positive;low_coverage_positive;mixed_positive;near_full_positive,0.0301208496094,0.500450134277,1.0
train,Tillamook_2576,5,1,5,mixed_positive;near_full_positive,0.313751220703,0.60710144043,0.947631835938
train,Tillamook_2577,8,1,6,full_positive;mixed_positive;near_full_positive,0.170623779297,0.666954040527,1.0
train,Tillamook_2612,1,1,1,low_coverage_positive,0.0854797363281,0.0854797363281,0.0854797363281
train,Tillamook_3227,12,1,11,full_positive;low_coverage_positive;mixed_positive;near_full_positive,0.0114898681641,0.23990631103549998,1.0
train,Tillamook_4531,3,1,3,low_coverage_positive;mixed_positive,0.0372924804688,0.0564575195312,0.29231262207
train,Tillamook_4543,10,1,10,full_positive;low_coverage_positive;mixed_positive;near_full_positive,0.0751647949219,0.6979217529295,0.999786376953
train,Tillamook_4544,2,1,2,full_positive,0.991012573242,0.9953994750974999,0.999786376953
train,Tillamook_984,38,1,38,full_positive;low_coverage_positive;mixed_positive;near_full_positive,0.0186157226562,0.443397521973,0.99235534668
train,Tillamook_990,3,1,3,mixed_positive,0.31950378418,0.612930297852,0.852279663086
validation,Tillamook_1263,1,1,1,mixed_positive,0.149261474609,0.149261474609,0.149261474609
validation,Tillamook_335,2,1,2,low_coverage_positive;mixed_positive,0.0368347167969,0.10518646240245,0.173538208008
validation,Tillamook_337,11,1,11,low_coverage_positive;mixed_positive,0.0113067626953,0.0968170166016,0.547592163086
