component_id,split,tile_count,patch_count,positive_patch_count,negative_patch_count,positive_interior_count,positive_boundary_count,hard_negative_count,unique_polygon_ids,tiles
C001,train,17,1857,1194,663,957,237,649,120,USGS_LPC_OR_WesternWildfires_A22_s05130w13980.laz;USGS_LPC_OR_WesternWildfires_A22_s05160w13950.laz;USGS_LPC_OR_WesternWildfires_A22_s05160w14010.laz;USGS_LPC_OR_WesternWildfires_A22_s05160w14040.laz;USGS_LPC_OR_WesternWildfires_A22_s05160w14070.laz;USGS_LPC_OR_WesternWildfires_A22_s05190w14010.laz;USGS_LPC_OR_WesternWildfires_A22_s05190w14040.laz;USGS_LPC_OR_WesternWildfires_A22_s05190w14070.laz;USGS_LPC_OR_WesternWildfires_A22_s05220w14010.laz;USGS_LPC_OR_WesternWildfires_A22_s05220w14040.laz;USGS_LPC_OR_WesternWildfires_A22_s05220w14070.laz;USGS_LPC_OR_WesternWildfires_A22_s05250w14040.laz;USGS_LPC_OR_WesternWildfires_A22_s05250w14100.laz;USGS_LPC_OR_WesternWildfires_A22_s05250w14130.laz;USGS_LPC_OR_WesternWildfires_A22_s05280w14070.laz;USGS_LPC_OR_WesternWildfires_A22_s05280w14100.laz;USGS_LPC_OR_WesternWildfires_A22_s05310w14100.laz
C002,train,9,360,0,360,0,0,360,0,USGS_LPC_OR_WesternWildfires_A22_s05250w14310.laz;USGS_LPC_OR_WesternWildfires_A22_s05250w14340.laz;USGS_LPC_OR_WesternWildfires_A22_s05280w14340.laz;USGS_LPC_OR_WesternWildfires_A22_s05280w14370.laz;USGS_LPC_OR_WesternWildfires_A22_s05310w14340.laz;USGS_LPC_OR_WesternWildfires_A22_s05310w14370.laz;USGS_LPC_OR_WesternWildfires_A22_s05310w14400.laz;USGS_LPC_OR_WesternWildfires_A22_s05310w14430.laz;USGS_LPC_OR_WesternWildfires_A22_s05310w14460.laz
C003,test,6,324,115,209,91,24,209,20,USGS_LPC_OR_WesternWildfires_A22_s04470w14010.laz;USGS_LPC_OR_WesternWildfires_A22_s04500w13980.laz;USGS_LPC_OR_WesternWildfires_A22_s04500w14010.laz;USGS_LPC_OR_WesternWildfires_A22_s04530w13950.laz;USGS_LPC_OR_WesternWildfires_A22_s04530w14040.laz;USGS_LPC_OR_WesternWildfires_A22_s04560w13920.laz
C004,test,6,373,133,240,80,53,221,40,USGS_LPC_OR_WesternWildfires_A22_s04560w13800.laz;USGS_LPC_OR_WesternWildfires_A22_s04590w13770.laz;USGS_LPC_OR_WesternWildfires_A22_s04590w13800.laz;USGS_LPC_OR_WesternWildfires_A22_s04590w13860.laz;USGS_LPC_OR_WesternWildfires_A22_s04620w13830.laz;USGS_LPC_OR_WesternWildfires_A22_s04620w13860.laz
C005,train,4,175,39,136,22,17,134,24,USGS_LPC_OR_WesternWildfires_A22_s04410w13950.laz;USGS_LPC_OR_WesternWildfires_A22_s04410w13980.laz;USGS_LPC_OR_WesternWildfires_A22_s04410w14010.laz;USGS_LPC_OR_WesternWildfires_A22_s04440w14040.laz
C006,validation,4,196,41,155,25,16,143,23,USGS_LPC_OR_WesternWildfires_A22_s04800w13620.laz;USGS_LPC_OR_WesternWildfires_A22_s04800w13650.laz;USGS_LPC_OR_WesternWildfires_A22_s04830w13590.laz;USGS_LPC_OR_WesternWildfires_A22_s04830w13620.laz
C007,test,4,160,0,160,0,0,155,0,USGS_LPC_OR_WesternWildfires_A22_s04800w14460.laz;USGS_LPC_OR_WesternWildfires_A22_s04800w14520.laz;USGS_LPC_OR_WesternWildfires_A22_s04800w14550.laz;USGS_LPC_OR_WesternWildfires_A22_s04830w14490.laz
C008,validation,4,241,111,130,92,19,130,23,USGS_LPC_OR_WesternWildfires_A22_s04830w13710.laz;USGS_LPC_OR_WesternWildfires_A22_s04860w13710.laz;USGS_LPC_OR_WesternWildfires_A22_s04860w13740.laz;USGS_LPC_OR_WesternWildfires_A22_s04890w13680.laz
C009,train,3,179,59,120,40,19,79,17,USGS_LPC_OR_WesternWildfires_A22_s04470w14160.laz;USGS_LPC_OR_WesternWildfires_A22_s04470w14190.laz;USGS_LPC_OR_WesternWildfires_A22_s04500w14220.laz
C010,train,2,92,45,47,35,10,26,11,USGS_LPC_OR_WesternWildfires_A22_s04470w14100.laz;USGS_LPC_OR_WesternWildfires_A22_s04500w14100.laz
C011,validation,2,135,55,80,35,20,68,14,USGS_LPC_OR_WesternWildfires_A22_s04500w14280.laz;USGS_LPC_OR_WesternWildfires_A22_s04530w14280.laz
C012,train,2,163,83,80,66,17,80,11,USGS_LPC_OR_WesternWildfires_A22_s04680w13770.laz;USGS_LPC_OR_WesternWildfires_A22_s04710w13770.laz
C013,train,2,92,40,52,27,13,40,14,USGS_LPC_OR_WesternWildfires_A22_s04710w13410.laz;USGS_LPC_OR_WesternWildfires_A22_s04710w13440.laz
C014,validation,2,136,56,80,44,12,80,8,USGS_LPC_OR_WesternWildfires_A22_s04980w13770.laz;USGS_LPC_OR_WesternWildfires_A22_s04980w13800.laz
C015,validation,2,103,50,53,41,9,53,12,USGS_LPC_OR_WesternWildfires_A22_s05160w13800.laz;USGS_LPC_OR_WesternWildfires_A22_s05160w13830.laz
C016,test,2,313,253,60,229,24,60,13,USGS_LPC_OR_WesternWildfires_A22_s05280w14190.laz;USGS_LPC_OR_WesternWildfires_A22_s05310w14160.laz
C017,train,1,57,17,40,5,12,28,5,USGS_LPC_OR_WesternWildfires_A22_s04470w13920.laz
C018,train,1,40,0,40,0,0,40,0,USGS_LPC_OR_WesternWildfires_A22_s04530w14160.laz
C019,validation,1,40,0,40,0,0,28,0,USGS_LPC_OR_WesternWildfires_A22_s04560w14520.laz
C020,train,1,40,0,40,0,0,40,0,USGS_LPC_OR_WesternWildfires_A22_s04620w13980.laz
C021,validation,1,40,0,40,0,0,40,0,USGS_LPC_OR_WesternWildfires_A22_s04710w13950.laz
C022,train,1,40,0,40,0,0,40,0,USGS_LPC_OR_WesternWildfires_A22_s04770w14370.laz
C023,train,1,40,0,40,0,0,40,0,USGS_LPC_OR_WesternWildfires_A22_s04830w13830.laz
C024,train,1,40,0,40,0,0,40,0,USGS_LPC_OR_WesternWildfires_A22_s04830w13950.laz
C025,train,1,1,0,1,0,0,1,0,USGS_LPC_OR_WesternWildfires_A22_s04860w13440.laz
C026,train,1,40,0,40,0,0,40,0,USGS_LPC_OR_WesternWildfires_A22_s04860w14220.laz
C027,train,1,46,37,9,28,9,9,6,USGS_LPC_OR_WesternWildfires_A22_s04920w13590.laz
C028,train,1,40,0,40,0,0,40,0,USGS_LPC_OR_WesternWildfires_A22_s04950w14070.laz
C029,train,1,40,0,40,0,0,40,0,USGS_LPC_OR_WesternWildfires_A22_s04980w13440.laz
C030,train,1,64,24,40,17,7,28,5,USGS_LPC_OR_WesternWildfires_A22_s05040w13770.laz
C031,train,1,40,0,40,0,0,40,0,USGS_LPC_OR_WesternWildfires_A22_s05070w14400.laz
C032,train,1,77,50,27,45,5,27,8,USGS_LPC_OR_WesternWildfires_A22_s05100w13860.laz
C033,test,1,40,0,40,0,0,40,0,USGS_LPC_OR_WesternWildfires_A22_s05130w13320.laz
C034,train,1,67,27,40,16,11,28,6,USGS_LPC_OR_WesternWildfires_A22_s05130w13560.laz
C035,train,1,40,0,40,0,0,40,0,USGS_LPC_OR_WesternWildfires_A22_s05160w14370.laz
C036,train,1,40,0,40,0,0,40,0,USGS_LPC_OR_WesternWildfires_A22_s05190w14280.laz
C037,train,1,40,0,40,0,0,40,0,USGS_LPC_OR_WesternWildfires_A22_s05250w13320.laz
C038,train,1,40,0,40,0,0,40,0,USGS_LPC_OR_WesternWildfires_A22_s05280w13470.laz
C039,train,1,40,0,40,0,0,40,0,USGS_LPC_OR_WesternWildfires_A22_s05280w13890.laz
C040,train,1,40,0,40,0,0,40,0,USGS_LPC_OR_WesternWildfires_A22_s05310w13800.laz
C041,train,1,40,0,40,0,0,40,0,USGS_LPC_OR_WesternWildfires_A22_s05310w13950.laz
C042,train,1,40,0,40,0,0,40,0,USGS_LPC_OR_WesternWildfires_A22_s05310w14250.laz
C043,train,1,40,0,40,0,0,40,0,USGS_LPC_OR_WesternWildfires_A22_s05310w14520.laz
