tile_name,split,component_id,patch_count,positive_patch_count,negative_patch_count,positive_interior_count,positive_boundary_count,hard_negative_count,unique_polygon_ids
USGS_LPC_OR_WesternWildfires_A22_s04410w13950.laz,train,C005,40,0,40,0,0,40,0
USGS_LPC_OR_WesternWildfires_A22_s04410w13980.laz,train,C005,35,18,17,11,7,17,10
USGS_LPC_OR_WesternWildfires_A22_s04410w14010.laz,train,C005,49,10,39,10,0,39,8
USGS_LPC_OR_WesternWildfires_A22_s04440w14040.laz,train,C005,51,11,40,1,10,38,8
USGS_LPC_OR_WesternWildfires_A22_s04470w13920.laz,train,C017,57,17,40,5,12,28,5
USGS_LPC_OR_WesternWildfires_A22_s04470w14010.laz,test,C003,40,0,40,0,0,40,0
USGS_LPC_OR_WesternWildfires_A22_s04470w14100.laz,train,C010,75,35,40,25,10,20,6
USGS_LPC_OR_WesternWildfires_A22_s04470w14160.laz,train,C009,46,6,40,1,5,28,4
USGS_LPC_OR_WesternWildfires_A22_s04470w14190.laz,train,C009,61,21,40,16,5,28,9
USGS_LPC_OR_WesternWildfires_A22_s04500w13980.laz,test,C003,44,4,40,0,4,40,7
USGS_LPC_OR_WesternWildfires_A22_s04500w14010.laz,test,C003,31,0,31,0,0,31,0
USGS_LPC_OR_WesternWildfires_A22_s04500w14100.laz,train,C010,17,10,7,10,0,6,7
USGS_LPC_OR_WesternWildfires_A22_s04500w14220.laz,train,C009,72,32,40,23,9,23,7
USGS_LPC_OR_WesternWildfires_A22_s04500w14280.laz,validation,C011,58,18,40,11,7,40,9
USGS_LPC_OR_WesternWildfires_A22_s04530w13950.laz,test,C003,85,54,31,42,12,31,6
USGS_LPC_OR_WesternWildfires_A22_s04530w14040.laz,test,C003,40,0,40,0,0,40,0
USGS_LPC_OR_WesternWildfires_A22_s04530w14160.laz,train,C018,40,0,40,0,0,40,0
USGS_LPC_OR_WesternWildfires_A22_s04530w14280.laz,validation,C011,77,37,40,24,13,28,6
USGS_LPC_OR_WesternWildfires_A22_s04560w13800.laz,test,C004,67,27,40,15,12,37,7
USGS_LPC_OR_WesternWildfires_A22_s04560w13920.laz,test,C003,84,57,27,49,8,27,7
USGS_LPC_OR_WesternWildfires_A22_s04560w14520.laz,validation,C019,40,0,40,0,0,28,0
USGS_LPC_OR_WesternWildfires_A22_s04590w13770.laz,test,C004,49,9,40,5,4,36,6
USGS_LPC_OR_WesternWildfires_A22_s04590w13800.laz,test,C004,82,42,40,22,20,40,10
