epoch,train_loss,validation_loss,validation_threshold,validation_tp,validation_fp,validation_fn,validation_tn,validation_dice,validation_iou,validation_precision,validation_recall,validation_specificity,validation_gt_positive_fraction,validation_predicted_positive_fraction
1,1.978626067306422,1.915856784234667,0.5,5924127,32138636,2402944,17926869,0.25540625991461835,0.14639870248652767,0.1556410132391072,0.711429865315187,0.35806827475324576,0.14260496060321093,0.6518425047732095
2,1.9709442719930335,1.921011796446659,0.5,6443590,35117711,1883481,14947794,0.2583203156038044,0.1483167759939502,0.15503821692203523,0.7738123044705636,0.29856473034677267,0.14260496060321093,0.7117565938519308
3,1.9700146066086202,1.9474126734006565,0.5,6102318,36046730,2224753,14018775,0.24179030087475623,0.1375207411237996,0.14477949774808674,0.7328288662363993,0.28000866065367763,0.14260496060321093,0.7218220343627245
4,1.9623784449734265,1.899816352155711,0.5,5179481,23676213,3147590,26389292,0.2785957956596289,0.16184217219707828,0.1794959774663538,0.6220051444259332,0.5270952924573516,0.14260496060321093,0.49416716947031075
5,1.9506885287731508,1.852989534091522,0.5,5790113,22295406,2536958,27770099,0.3180280776511641,0.18908049143117978,0.2061600855586824,0.6953360911657893,0.5546752998896146,0.14260496060321093,0.4809775646821952
6,1.9334789681132836,1.9076736467836148,0.5,2328736,8027805,5998335,42037700,0.2492811347184902,0.14238787258307553,0.22485654235328184,0.27965847775286173,0.8396539693347745,0.14260496060321093,0.17736057748163053
7,1.9254559649696832,1.8813676705809452,0.5,1571609,4743649,6755462,45321856,0.2146665328992403,0.12023890038192234,0.2488590331543066,0.18873491051055047,0.9052511504677722,0.14260496060321093,0.10815172805529251
8,1.9107898762859876,1.8189198118154244,0.5,6902080,26364829,1424991,23700676,0.33187879592190983,0.19895364624018863,0.20747584333729352,0.8288724810920911,0.4733933274017709,0.14260496060321093,0.5697112763101939
9,1.899512263974057,2.0202832283460506,0.5,518534,1436486,7808537,48629019,0.10086158544988563,0.05310912815892815,0.2652320692371434,0.062270875317383505,0.9713078695600893,0.14260496060321093,0.033480626030267954
10,1.8930100666722165,1.8191680795943257,0.5,2993957,7415875,5333114,42649630,0.3195786411446972,0.19017768338911917,0.2876085800424061,0.3595450308998206,0.8518765565232989,0.14260496060321093,0.17827321062184343
11,1.8827419415606728,1.835322451698406,0.5,3602509,11527275,4724562,38538230,0.3071604441430874,0.1814468731430388,0.23810710053758863,0.432626189929208,0.7697561424777399,0.14260496060321093,0.2591045820619388
12,1.8663030553769462,1.83564751164261,0.5,4854729,17251719,3472342,32813786,0.31903829458565075,0.18979509976820638,0.21960692192612763,0.5830055970460681,0.6554170581121672,0.14260496060321093,0.37858319523358586
13,1.8617277736301663,2.0154963857389885,0.5,579208,1583400,7747863,48482105,0.11043388458312213,0.05844404367865059,0.2678284737687089,0.06955723086785258,0.9683734339641635,0.14260496060321093,0.03703566699985971
14,1.8646079054361657,1.9290816701046554,0.5,1336669,4340848,6990402,45724657,0.19089015685431088,0.10551606779298163,0.23543196788314327,0.1605209082521333,0.9132966300849258,0.14260496060321093,0.09723011706145658
15,1.844818346892731,1.9872304046100566,0.5,45120,149021,8281951,49916484,0.010590042824893923,0.005323207912325633,0.23240840420107037,0.005418471873243305,0.9970234795394554,0.14260496060321093,0.003324754845547489
16,1.8401750262779526,1.8852766223017945,0.5,2151951,6618865,6175120,43446640,0.2517212799452938,0.1439823507875318,0.24535356801465222,0.25842832371670665,0.8677959005906362,0.14260496060321093,0.1502042999438833
17,1.8367101991025707,1.8548263680239965,0.5,2276083,6370017,6050988,43695488,0.2681977339414067,0.15486625649924665,0.26324967326308973,0.27333536606088743,0.8727663488064287,0.14260496060321093,0.14806848048628649
18,1.822524591578713,1.862027407494361,0.5,4966603,17203303,3360468,32862202,0.32571116802822786,0.19453702480034174,0.22402454029349517,0.5964405731619197,0.6563841111759484,0.14260496060321093,0.37966994297357254
19,1.8223818584635287,1.8598573972291477,0.5,2133742,5902726,6193329,44162779,0.2607922406027205,0.14994887137181226,0.2655074343604678,0.25624160043789707,0.8820999408674696,0.14260496060321093,0.13762824918016975
20,1.8143316766883752,1.8872369346062698,0.5,7870225,37592985,456846,12472520,0.2926262831755796,0.17138970823554744,0.17311195139982416,0.9451372517419391,0.2491240226179682,0.14260496060321093,0.7785785987588559
