epoch,train_loss,validation_loss,validation_threshold,validation_tp,validation_fp,validation_fn,validation_tn,validation_dice,validation_iou,validation_precision,validation_recall,validation_specificity,validation_gt_positive_fraction,validation_predicted_positive_fraction
1,1.9779158817363691,1.913311338745425,0.5,5676443,30679742,2650628,19385763,0.2540747254407781,0.14552439851981755,0.15613417634441018,0.6816854329691676,0.3872079788269388,0.14260496060321093,0.6226165634480657
2,1.9707093637804443,1.918774228192231,0.5,7280495,39449333,1046576,10616172,0.26447166957223656,0.1523868351414644,0.15579973887342363,0.8743164313118021,0.21204563900833517,0.14260496060321093,0.8002700206272797
3,1.9689226551297345,1.9118784353337481,0.5,5774275,30181664,2552796,19883841,0.26078963467027194,0.14994714835478237,0.1605930803253393,0.6934341018588649,0.39715650526245566,0.14260496060321093,0.6157621646971012
4,1.9605023787896845,1.8860139884221714,0.5,4831979,20161766,3495092,29903739,0.29002765118357243,0.1696095561921324,0.19332753054814314,0.5802735439628172,0.5972922674004786,0.14260496060321093,0.42802949813346136
5,1.9412288328967517,1.9419873522536102,0.5,4884781,26615319,3442290,23450186,0.2452989191725418,0.13979527445031664,0.1550719204066019,0.5866145491013587,0.46839008215337086,0.14260496060321093,0.539453851119704
6,1.931336746095102,1.8833433830684612,0.5,3731345,16159589,4595726,33905916,0.26446554247899523,0.15238276677995283,0.18759023583306847,0.44809813678783333,0.6772310795626649,0.14260496060321093,0.34064148839742914
7,1.917141143038303,1.9225355226362768,0.5,1551527,7776267,6775544,42289238,0.17576197835554108,0.09634816085956838,0.1663337547977582,0.18632325820207368,0.8446781471594065,0.14260496060321093,0.1597428070308116
8,1.8910661349115492,1.8845746669534076,0.5,3497554,12568626,4829517,37496879,0.28676407257072867,0.16738154271666555,0.21769667711926544,0.420022118221401,0.7489563722567065,0.14260496060321093,0.27514079872071406
9,1.8784627347052851,1.9861169096600315,0.5,274458,5832414,8052613,44233091,0.0380295252655494,0.01938333209152734,0.044942484466679505,0.03295972857683092,0.8835043409629045,0.14260496060321093,0.1045830209648569
10,1.869291032416911,1.9399957226530853,0.5,3334071,20281449,4993000,29784056,0.20875394860736252,0.11654119122555098,0.14118135023069575,0.40038940462979117,0.5949017392314329,0.14260496060321093,0.4044267545244108
11,1.8557194319254235,1.9261957521930404,0.5,4383282,28530757,3943789,21534748,0.2125685753850951,0.11892404511736286,0.13317362843253605,0.5263894111146644,0.43013144479417514,0.14260496060321093,0.5636682135756436
12,1.852915961048271,1.893611641475438,0.5,2242416,10093348,6084655,39972157,0.21704824144411936,0.12173534163365123,0.1817816877819647,0.2692922877684122,0.7983971598808401,0.14260496060321093,0.21125569113443463
13,1.8470874318593664,1.9318472034728047,0.5,163062,492761,8164009,49572744,0.03630500371038554,0.01848810725646475,0.2486372085151024,0.019582155598289002,0.9901576744307283,0.14260496060321093,0.01123127364684168
14,1.85118252156656,1.9093577805655955,0.5,2687545,16732196,5639526,33333309,0.1937191919561786,0.10724755037727161,0.1383924224324104,0.32274793862091483,0.6657939233809785,0.14260496060321093,0.3325720893012153
15,1.8475150582156603,1.9772630708100016,0.5,222523,1019889,8104548,49045616,0.046506796657666875,0.023806991791983704,0.17910564289462755,0.02672284168106649,0.9796289081674099,0.14260496060321093,0.021276882869493547
16,1.8412051893185966,1.897752888534101,0.5,3785557,16281320,4541514,33784185,0.2666453428737701,0.15383195918822973,0.18864704258664663,0.4546084691724137,0.674799644985105,0.14260496060321093,0.34365459403606374
17,1.8327993232992632,1.9407152234171539,0.5,1104631,7709009,7222440,42356496,0.1288897525896096,0.06888410384582766,0.12533198542259497,0.13265540788591812,0.8460215471710512,0.14260496060321093,0.1509376808449074
18,1.8261427884162227,1.921764951383052,0.5,2508422,11303171,5818649,38762334,0.2266100610226525,0.12778354948451476,0.18161713858785153,0.3012370135909733,0.7742323581875385,0.14260496060321093,0.23652994860168525
19,1.836954413365714,1.8828935187493738,0.5,2618378,9437758,5708693,40627747,0.25691521456854166,0.1473911175840758,0.21718218838938114,0.3144416566161139,0.8114918045868108,0.14260496060321093,0.20646693168665825
20,1.838992202976082,1.9213927583309567,0.5,857127,6222455,7469944,43843050,0.11126712596175171,0.058910991327140144,0.12107028352803881,0.10293259178407389,0.8757137274456734,0.14260496060321093,0.12124113174935115
21,1.8215052597432198,1.9730524078612905,0.5,277148,1065718,8049923,48999787,0.05732157303610148,0.029506465012681535,0.20638544724492242,0.03328277133700433,0.9787135274077431,0.14260496060321093,0.02299720430213594
22,1.8295826138122173,1.9156141192923746,0.5,217015,1082371,8110056,48983134,0.04508720082580746,0.02306353554227764,0.1670134971440357,0.026061384609306203,0.9783809031787455,0.14260496060321093,0.022252589096257717
23,1.8131829626952545,1.9692619883960674,0.5,3196693,21762867,5130378,28302638,0.19207068447389583,0.1062379390745172,0.128074893948451,0.38389164689480854,0.5653121445594127,0.14260496060321093,0.42744406412212405
24,1.821722442832174,1.9135928105880327,0.5,4217225,20976774,4109846,29088731,0.25161637143444404,0.14391370825227884,0.16739005983131142,0.5064475852313497,0.581013434299724,0.14260496060321093,0.43145894094482146
25,1.8092427305632,1.9538086206389116,0.5,139073,549671,8187998,49515834,0.03085089922541667,0.01566712201391006,0.20192263017899248,0.01670131070096556,0.989020963635541,0.14260496060321093,0.011795061070777216
26,1.8175107739846919,1.9092289773338045,0.5,6682441,33914647,1644630,16150858,0.2731755082391912,0.1581952940455689,0.16460394893348015,0.802495979678809,0.32259452890767804,0.14260496060321093,0.6952439981411336
27,1.8215971802457978,1.9625556046652688,0.5,771763,4547844,7555308,45517661,0.11310635452818628,0.05994315302275782,0.145078950381109,0.09268120807424363,0.9091621266978132,0.14260496060321093,0.0911007419847345
28,1.8104828561710407,1.897678610455295,0.5,2801819,12463899,5525252,37601606,0.23751486100265637,0.13476134110144933,0.1835366669291284,0.33647113132576867,0.7510481717901377,0.14260496060321093,0.26143251498272657
29,1.8130172436750387,1.964087063421583,0.5,264273,791601,8062798,49273904,0.056330501777427024,0.028981522748049278,0.25028838668250186,0.03173660942725239,0.9841886943914777,0.14260496060321093,0.01808233293218645
30,1.8162878143938281,1.9326691111641614,0.5,4794235,28106118,3532836,21959387,0.23257504519321895,0.13158977107384148,0.1457198650725723,0.5757408577397742,0.43861311296071015,0.14260496060321093,0.5634338344655321
31,1.8079555183120921,1.9461099115187812,0.5,5336083,28852510,2990988,21212995,0.2510172721282208,0.14352187024377708,0.1560778766180872,0.6408115170388243,0.4237048043358396,0.14260496060321093,0.5854955431320584
32,1.8075145189067985,1.9000171644805257,0.5,3296354,14855111,5030717,35210394,0.24898310087838693,0.14219343114466101,0.18160264199060516,0.3958599608433746,0.7032865043506502,0.14260496060321093,0.3108522734122913
33,1.7996733008758932,1.9037022892669713,0.5,2107275,10691104,6219796,39374401,0.1995010757167303,0.11080321850019784,0.16465171097058465,0.2530631719124288,0.7864576817910855,0.14260496060321093,0.2191781879943094
34,1.8002503569518464,1.9855558083730962,0.5,3452521,23599104,4874550,26466401,0.19517514155976806,0.10814076537511932,0.1276271203670759,0.41461409419950906,0.5286354546908095,0.14260496060321093,0.46327164946447985
35,1.8032123795642128,1.9120072268049813,0.5,456061,1804286,7871010,48261219,0.08615150549454079,0.04501479910341724,0.20176592355067607,0.05476847741540813,0.9639614940466494,0.14260496060321093,0.03870949279579651
36,1.799257187964041,1.9357249971997044,0.5,699316,5911701,7627755,44153804,0.09362858218535063,0.049113505012932296,0.1057803965713596,0.08398103006447286,0.8819206757227357,0.14260496060321093,0.11321673837441253
37,1.790005245148381,1.9218872638561266,0.5,435974,1738300,7891097,48327205,0.08303203065892988,0.043314250413621115,0.2005147465314859,0.05235622465570427,0.9652794873436311,0.14260496060321093,0.03723545267124369
38,1.7942529822603057,1.9309195143759519,0.5,7008716,38184468,1318355,11881037,0.26190891654010245,0.15068768203950422,0.15508347453456697,0.8416784245024451,0.2373098403781206,0.14260496060321093,0.7739542780232884
39,1.7947556401506255,1.947343290921284,0.5,17858,217068,8309213,49848437,0.004171456729078508,0.0020900877197807762,0.07601542613418694,0.002144571602667973,0.9956643201741399,0.14260496060321093,0.0040232169240144505
40,1.7930082958559446,1.9450152460235117,0.5,832938,4947245,7494133,45118260,0.11808648231611907,0.0627480918790844,0.1441023580049282,0.10002772883766693,0.9011845581104195,0.14260496060321093,0.09898832002205211
41,1.7848120307922364,2.0790603494964905,0.5,13371,110746,8313700,49954759,0.0031642888550106802,0.0015846515751645242,0.10772899763932418,0.001605726671479083,0.9977879779700615,0.14260496060321093,0.0021255613042315516
42,1.7921050670478917,1.9082118216651438,0.5,1161288,6700434,7165783,43365071,0.14346813873029324,0.0772774988263188,0.14771420307154082,0.13945936092054456,0.8661666550651991,0.14260496060321093,0.13463564272280093
43,1.7932895134672333,1.8956610367971685,0.5,4245077,17025753,4081994,33039752,0.286849868171395,0.16744000589441238,0.19957270120629989,0.5097923387467214,0.6599304650976755,0.14260496060321093,0.3642728486580212
44,1.7840349840212473,2.023800355971127,0.5,530920,2406265,7796151,47659240,0.0942663234926479,0.04946458398395429,0.18075810682677462,0.06375831309712623,0.9519376664631666,0.14260496060321093,0.05030065808365776
45,1.7901346000236802,1.9521335908650284,0.5,3988860,22953738,4338211,27111767,0.2261920858968084,0.1275178017294885,0.14805031051571196,0.4790231763365534,0.5415258869355257,0.14260496060321093,0.46140451142282196
46,1.7757389340219618,1.937219983793695,0.5,1171854,6292176,7155217,43773329,0.1484195433871267,0.08015830090291244,0.15700017282888734,0.1407282344536272,0.8743211318851173,0.14260496060321093,0.12782498240872264
47,1.7762476997737644,1.9065466191736573,0.5,2001861,10907859,6325210,39157646,0.18852763583725998,0.10407425449429761,0.155066182690252,0.2404039787819751,0.7821282537747297,0.14260496060321093,0.22108495436132156
48,1.7865627591821212,2.043482496866731,0.5,140222,736773,8186849,49328732,0.030469577249880652,0.015470478088546095,0.1598891669849885,0.016839294392950413,0.9852838196678532,0.14260496060321093,0.01501894692914387
49,1.7972256469122971,1.9068281693308877,0.5,4228820,21093641,4098251,28971864,0.25134495184063776,0.14373615431196907,0.16699877630377238,0.507840031626967,0.5786791524423852,0.14260496060321093,0.4336589123932467
50,1.7743323796308492,1.9078651720098316,0.5,1331089,7170540,6995982,42894965,0.15819273027625425,0.0858899478119563,0.1565686999515034,0.15985080468270296,0.8567768366662835,0.14260496060321093,0.14559434747321304
