epoch,train_loss,validation_loss,validation_threshold,validation_tp,validation_fp,validation_fn,validation_tn,validation_dice,validation_iou,validation_precision,validation_recall,validation_specificity,validation_gt_positive_fraction,validation_predicted_positive_fraction
1,1.9710142936585824,1.8919639934873367,0.5,5776622,25651347,2550449,24414158,0.2906108005425224,0.17000856249399252,0.18380513230110415,0.69371595366486,0.4876442972062301,0.14260496060321093,0.5382185742242301
2,1.9411417531363573,1.876184284419757,0.5,6790637,29831501,1536434,20234004,0.30214711898489693,0.17795836280246546,0.1854243736397913,0.8154892638720146,0.4041506022959321,0.14260496060321093,0.6271711321658424
3,1.9230964972097662,1.9155475622869929,0.5,6118070,28128418,2209001,21937087,0.2874117242582421,0.16782301288017287,0.1786480996241133,0.7347205277822177,0.4381676965008143,0.14260496060321093,0.5864870219118266
4,1.9103642287435412,1.8806944024402465,0.5,6136973,26506950,2190098,23558555,0.29957647598200815,0.1761775650304626,0.18799741072787116,0.7369905936913472,0.47055462638397433,0.14260496060321093,0.5590423515482517
5,1.8992697246768806,1.8916498927792091,0.5,6684643,30138692,1642428,19926813,0.29610555439966585,0.17378163017330503,0.1815327970701187,0.8027604183992186,0.3980148207832918,0.14260496060321093,0.6306167242904304
6,1.904053203486189,1.8719138730267237,0.5,5568929,23643090,2758142,26422415,0.2967002663090661,0.17419145934235364,0.19063827803206618,0.668774050323337,0.5277568857040391,0.14260496060321093,0.500269400685457
7,1.8947950137416019,1.8705821577208994,0.5,6551147,28343067,1775924,21722438,0.30314448078070794,0.17865073210250804,0.18774307396636014,0.7867288509969472,0.43388033337524506,0.14260496060321093,0.5975796306708578
8,1.8826041151602058,1.929294111750051,0.5,7512224,36963057,814847,13102448,0.2845412643739809,0.16586890635416177,0.16890784793467634,0.9021448237921833,0.2617060988399098,0.14260496060321093,0.7616598555268396
9,1.866219540125207,1.9134193113566513,0.5,5554383,26323187,2772688,23742318,0.2763055638278178,0.16029846011536192,0.17424110432507872,0.6670272176134922,0.4742250777256716,0.14260496060321093,0.545918200286283
10,1.8488451518891733,1.8967996236989317,0.5,5540320,25118927,2786751,24946578,0.2842186841034847,0.16564971390598063,0.18070632980646917,0.6653383884921841,0.49827876498998663,0.14260496060321093,0.5250538527363479
11,1.8388698404650146,1.8824737005169616,0.5,5724770,25071695,2602301,24993810,0.29265095056847623,0.17140663220910618,0.1858904910027823,0.6874890342594653,0.4992221690363455,0.14260496060321093,0.5274037747538317
12,1.8275724509999722,1.8782617706354423,0.5,6668766,29272481,1658305,20793024,0.3012884293457908,0.17736291113255817,0.1855463167429889,0.800853745572723,0.4153163740183985,0.14260496060321093,0.6155105573694848
13,1.8195979672444018,1.8726283408066617,0.5,2979628,10989075,5347443,39076430,0.26728186247313057,0.15425582308189223,0.21330742016635332,0.3578242577732314,0.7805060590120882,0.14260496060321093,0.23922053036331195
14,1.816062671383725,1.9493088497709266,0.5,7423687,35245520,903384,14819985,0.2911462283580774,0.17037515625361824,0.1739823053191497,0.891512393733643,0.2960118948166008,0.14260496060321093,0.730729998964252
15,1.8094672915301746,1.8659977383677735,0.5,5370407,21886577,2956664,28178928,0.3018434520742507,0.17774771851449384,0.19702865878337825,0.6449334946225389,0.5628411817677661,0.14260496060321093,0.4667885177732183
16,1.794518136736713,1.9030896644421222,0.5,6121080,26523722,2205991,23541783,0.29879424843477376,0.17563674949950206,0.18750550240739705,0.7350819994209249,0.4702196252689352,0.14260496060321093,0.5590574048317375
17,1.7895168542258346,1.8933565469600695,0.5,7258754,33078549,1068317,16986956,0.29831901259019583,0.17530842431534657,0.1799513963538911,0.8717055492861776,0.33929461013126705,0.14260496060321093,0.6907950592897288
18,1.7868854549866688,1.8883834916914526,0.5,4942897,20979932,3384174,29085573,0.2886371639041282,0.16865924502754512,0.190677375528728,0.5935937138040495,0.5809503569373763,0.14260496060321093,0.44394049339422875
19,1.7782206369351736,1.8547557875714495,0.5,5568409,22266116,2758662,27799389,0.3079736303674207,0.18201467535892876,0.20005403361472848,0.6687116033957198,0.555260333437164,0.14260496060321093,0.47667917579111424
20,1.7759970380082915,1.865157456675987,0.5,6268988,25873552,2058083,24191953,0.30981212050691564,0.18330040362130245,0.19503710658834056,0.7528443074401552,0.4832060118039357,0.14260496060321093,0.5504559346722433
21,1.7657859131656115,1.8320090824178517,0.5,5761689,21611982,2565382,28453523,0.3227769887807934,0.19244726945772134,0.21048287604537952,0.6919226460300386,0.5683258962433316,0.14260496060321093,0.46878683687460543
22,1.7676817916314813,1.8355440828832275,0.5,4265105,14413788,4061966,35651717,0.3158639328705319,0.18755250186459535,0.22833821040679445,0.5121975061819456,0.7121014159349836,0.14260496060321093,0.3198847230168438
23,1.749572644414781,1.869916164554288,0.5,5944248,23751624,2382823,26313881,0.3126663814529033,0.18530205171999672,0.2001708520295346,0.7138462011432352,0.5255890457911091,0.14260496060321093,0.5085556081649831
24,1.7559138292602345,1.8623916001597862,0.5,6195983,24753267,2131088,25312238,0.3155073001873062,0.18730107896721007,0.20019816312188501,0.7440771190734413,0.5055823965023423,0.14260496060321093,0.5300202888805591
