tile,url,region,path,bytes,elapsed_seconds,status,error
USGS Lidar Point Cloud OR_WesternWildfires_A22 s04350w14040,https://rockyweb.usgs.gov/vdelivery/Datasets/Staged/Elevation/LPC/Projects/OR_WesternWildfires_A22/OR_WWildfires_2_A22/LAZ/USGS_LPC_OR_WesternWildfires_A22_s04350w14040.laz,tillamook_probe/USGS_LPC_OR_WesternWildfires_A22,F:\LIDAR\oregon\probe_lidar\tillamook_probe\USGS_LPC_OR_WesternWildfires_A22\USGS_LPC_OR_WesternWildfires_A22_s04350w14040.laz,1697146,20.370311,downloaded,
USGS Lidar Point Cloud OR_WesternWildfires_A22 s04350w14100,https://rockyweb.usgs.gov/vdelivery/Datasets/Staged/Elevation/LPC/Projects/OR_WesternWildfires_A22/OR_WWildfires_2_A22/LAZ/USGS_LPC_OR_WesternWildfires_A22_s04350w14100.laz,tillamook_probe/USGS_LPC_OR_WesternWildfires_A22,F:\LIDAR\oregon\probe_lidar\tillamook_probe\USGS_LPC_OR_WesternWildfires_A22\USGS_LPC_OR_WesternWildfires_A22_s04350w14100.laz,2453548,22.106485,downloaded,
USGS Lidar Point Cloud OR_WesternWildfires_A22 s04380w13950,https://rockyweb.usgs.gov/vdelivery/Datasets/Staged/Elevation/LPC/Projects/OR_WesternWildfires_A22/OR_WWildfires_2_A22/LAZ/USGS_LPC_OR_WesternWildfires_A22_s04380w13950.laz,tillamook_probe/USGS_LPC_OR_WesternWildfires_A22,F:\LIDAR\oregon\probe_lidar\tillamook_probe\USGS_LPC_OR_WesternWildfires_A22\USGS_LPC_OR_WesternWildfires_A22_s04380w13950.laz,4895425,45.445245,downloaded,
USGS Lidar Point Cloud OR_WesternWildfires_A22 s04380w14040,https://rockyweb.usgs.gov/vdelivery/Datasets/Staged/Elevation/LPC/Projects/OR_WesternWildfires_A22/OR_WWildfires_2_A22/LAZ/USGS_LPC_OR_WesternWildfires_A22_s04380w14040.laz,tillamook_probe/USGS_LPC_OR_WesternWildfires_A22,F:\LIDAR\oregon\probe_lidar\tillamook_probe\USGS_LPC_OR_WesternWildfires_A22\USGS_LPC_OR_WesternWildfires_A22_s04380w14040.laz,34638095,366.672037,downloaded,
USGS Lidar Point Cloud OR_WesternWildfires_A22 s04380w14100,https://rockyweb.usgs.gov/vdelivery/Datasets/Staged/Elevation/LPC/Projects/OR_WesternWildfires_A22/OR_WWildfires_2_A22/LAZ/USGS_LPC_OR_WesternWildfires_A22_s04380w14100.laz,tillamook_probe/USGS_LPC_OR_WesternWildfires_A22,F:\LIDAR\oregon\probe_lidar\tillamook_probe\USGS_LPC_OR_WesternWildfires_A22\USGS_LPC_OR_WesternWildfires_A22_s04380w14100.laz,8069120,76.119352,failed,"(""Connection broken: ConnectionResetError(10054, 'An existing connection was forcibly closed by the remote host', None, 10054, None)"", ConnectionResetError(10054, 'An existing connection was forcibly closed by the remote host', None, 10054, None))"
USGS Lidar Point Cloud OR_WesternWildfires_A22 s04410w13920,https://rockyweb.usgs.gov/vdelivery/Datasets/Staged/Elevation/LPC/Projects/OR_WesternWildfires_A22/OR_WWildfires_2_A22/LAZ/USGS_LPC_OR_WesternWildfires_A22_s04410w13920.laz,tillamook_probe/USGS_LPC_OR_WesternWildfires_A22,F:\LIDAR\oregon\probe_lidar\tillamook_probe\USGS_LPC_OR_WesternWildfires_A22\USGS_LPC_OR_WesternWildfires_A22_s04410w13920.laz,0,0.001738,failed,"HTTPSConnectionPool(host='rockyweb.usgs.gov', port=443): Max retries exceeded with url: /vdelivery/Datasets/Staged/Elevation/LPC/Projects/OR_WesternWildfires_A22/OR_WWildfires_2_A22/LAZ/USGS_LPC_OR_WesternWildfires_A22_s04410w13920.laz (Caused by NewConnectionError(""HTTPSConnection(host='rockyweb.usgs.gov', port=443): Failed to establish a new connection: [WinError 10013] An attempt was made to access a socket in a way forbidden by its access permissions""))"
USGS Lidar Point Cloud OR_WesternWildfires_A22 s04410w14040,https://rockyweb.usgs.gov/vdelivery/Datasets/Staged/Elevation/LPC/Projects/OR_WesternWildfires_A22/OR_WWildfires_2_A22/LAZ/USGS_LPC_OR_WesternWildfires_A22_s04410w14040.laz,tillamook_probe/USGS_LPC_OR_WesternWildfires_A22,F:\LIDAR\oregon\probe_lidar\tillamook_probe\USGS_LPC_OR_WesternWildfires_A22\USGS_LPC_OR_WesternWildfires_A22_s04410w14040.laz,0,0.012659,failed,"HTTPSConnectionPool(host='rockyweb.usgs.gov', port=443): Max retries exceeded with url: /vdelivery/Datasets/Staged/Elevation/LPC/Projects/OR_WesternWildfires_A22/OR_WWildfires_2_A22/LAZ/USGS_LPC_OR_WesternWildfires_A22_s04410w14040.laz (Caused by NewConnectionError(""HTTPSConnection(host='rockyweb.usgs.gov', port=443): Failed to establish a new connection: [WinError 10013] An attempt was made to access a socket in a way forbidden by its access permissions""))"
USGS Lidar Point Cloud OR_WesternWildfires_A22 s04410w14130,https://rockyweb.usgs.gov/vdelivery/Datasets/Staged/Elevation/LPC/Projects/OR_WesternWildfires_A22/OR_WWildfires_2_A22/LAZ/USGS_LPC_OR_WesternWildfires_A22_s04410w14130.laz,tillamook_probe/USGS_LPC_OR_WesternWildfires_A22,F:\LIDAR\oregon\probe_lidar\tillamook_probe\USGS_LPC_OR_WesternWildfires_A22\USGS_LPC_OR_WesternWildfires_A22_s04410w14130.laz,0,0.001605,failed,"HTTPSConnectionPool(host='rockyweb.usgs.gov', port=443): Max retries exceeded with url: /vdelivery/Datasets/Staged/Elevation/LPC/Projects/OR_WesternWildfires_A22/OR_WWildfires_2_A22/LAZ/USGS_LPC_OR_WesternWildfires_A22_s04410w14130.laz (Caused by NewConnectionError(""HTTPSConnection(host='rockyweb.usgs.gov', port=443): Failed to establish a new connection: [WinError 10013] An attempt was made to access a socket in a way forbidden by its access permissions""))"
USGS Lidar Point Cloud OR_NORTHCOAST_2008_2009 OR_NorthCoast_2008-2009_001881,https://rockyweb.usgs.gov/vdelivery/Datasets/Staged/Elevation/LPC/Projects/legacy/OR_NORTHCOAST_2008_2009/LAZ/USGS_LPC_OR_NORTHCOAST_2008_2009_OR_NorthCoast_2008-2009_001881.laz,tillamook_probe/USGS_LPC_legacy,F:\LIDAR\oregon\probe_lidar\tillamook_probe\USGS_LPC_legacy\USGS_LPC_OR_NORTHCOAST_2008_2009_OR_NorthCoast_2008-2009_001881.laz,0,0.001528,failed,"HTTPSConnectionPool(host='rockyweb.usgs.gov', port=443): Max retries exceeded with url: /vdelivery/Datasets/Staged/Elevation/LPC/Projects/legacy/OR_NORTHCOAST_2008_2009/LAZ/USGS_LPC_OR_NORTHCOAST_2008_2009_OR_NorthCoast_2008-2009_001881.laz (Caused by NewConnectionError(""HTTPSConnection(host='rockyweb.usgs.gov', port=443): Failed to establish a new connection: [WinError 10013] An attempt was made to access a socket in a way forbidden by its access permissions""))"
USGS Lidar Point Cloud OR_NORTHCOAST_2008_2009 OR_NorthCoast_2008-2009_001898,https://rockyweb.usgs.gov/vdelivery/Datasets/Staged/Elevation/LPC/Projects/legacy/OR_NORTHCOAST_2008_2009/LAZ/USGS_LPC_OR_NORTHCOAST_2008_2009_OR_NorthCoast_2008-2009_001898.laz,tillamook_probe/USGS_LPC_legacy,F:\LIDAR\oregon\probe_lidar\tillamook_probe\USGS_LPC_legacy\USGS_LPC_OR_NORTHCOAST_2008_2009_OR_NorthCoast_2008-2009_001898.laz,0,0.001484,failed,"HTTPSConnectionPool(host='rockyweb.usgs.gov', port=443): Max retries exceeded with url: /vdelivery/Datasets/Staged/Elevation/LPC/Projects/legacy/OR_NORTHCOAST_2008_2009/LAZ/USGS_LPC_OR_NORTHCOAST_2008_2009_OR_NorthCoast_2008-2009_001898.laz (Caused by NewConnectionError(""HTTPSConnection(host='rockyweb.usgs.gov', port=443): Failed to establish a new connection: [WinError 10013] An attempt was made to access a socket in a way forbidden by its access permissions""))"
USGS Lidar Point Cloud OR_NORTHCOAST_2008_2009 OR_NorthCoast_2008-2009_001870,https://rockyweb.usgs.gov/vdelivery/Datasets/Staged/Elevation/LPC/Projects/legacy/OR_NORTHCOAST_2008_2009/LAZ/USGS_LPC_OR_NORTHCOAST_2008_2009_OR_NorthCoast_2008-2009_001870.laz,tillamook_probe/USGS_LPC_legacy,F:\LIDAR\oregon\probe_lidar\tillamook_probe\USGS_LPC_legacy\USGS_LPC_OR_NORTHCOAST_2008_2009_OR_NorthCoast_2008-2009_001870.laz,0,0.475747,failed,"('Connection aborted.', ConnectionResetError(10054, 'An existing connection was forcibly closed by the remote host', None, 10054, None))"
USGS Lidar Point Cloud OR_NORTHCOAST_2008_2009 OR_NorthCoast_2008-2009_001880,https://rockyweb.usgs.gov/vdelivery/Datasets/Staged/Elevation/LPC/Projects/legacy/OR_NORTHCOAST_2008_2009/LAZ/USGS_LPC_OR_NORTHCOAST_2008_2009_OR_NorthCoast_2008-2009_001880.laz,tillamook_probe/USGS_LPC_legacy,F:\LIDAR\oregon\probe_lidar\tillamook_probe\USGS_LPC_legacy\USGS_LPC_OR_NORTHCOAST_2008_2009_OR_NorthCoast_2008-2009_001880.laz,0,0.016694,failed,"HTTPSConnectionPool(host='rockyweb.usgs.gov', port=443): Max retries exceeded with url: /vdelivery/Datasets/Staged/Elevation/LPC/Projects/legacy/OR_NORTHCOAST_2008_2009/LAZ/USGS_LPC_OR_NORTHCOAST_2008_2009_OR_NorthCoast_2008-2009_001880.laz (Caused by NewConnectionError(""HTTPSConnection(host='rockyweb.usgs.gov', port=443): Failed to establish a new connection: [WinError 10013] An attempt was made to access a socket in a way forbidden by its access permissions""))"
USGS Lidar Point Cloud OR_NORTHCOAST_2008_2009 OR_NorthCoast_2008-2009_001897,https://rockyweb.usgs.gov/vdelivery/Datasets/Staged/Elevation/LPC/Projects/legacy/OR_NORTHCOAST_2008_2009/LAZ/USGS_LPC_OR_NORTHCOAST_2008_2009_OR_NorthCoast_2008-2009_001897.laz,tillamook_probe/USGS_LPC_legacy,F:\LIDAR\oregon\probe_lidar\tillamook_probe\USGS_LPC_legacy\USGS_LPC_OR_NORTHCOAST_2008_2009_OR_NorthCoast_2008-2009_001897.laz,0,0.014433,failed,"HTTPSConnectionPool(host='rockyweb.usgs.gov', port=443): Max retries exceeded with url: /vdelivery/Datasets/Staged/Elevation/LPC/Projects/legacy/OR_NORTHCOAST_2008_2009/LAZ/USGS_LPC_OR_NORTHCOAST_2008_2009_OR_NorthCoast_2008-2009_001897.laz (Caused by NewConnectionError(""HTTPSConnection(host='rockyweb.usgs.gov', port=443): Failed to establish a new connection: [WinError 10013] An attempt was made to access a socket in a way forbidden by its access permissions""))"
USGS Lidar Point Cloud OR_NORTHCOAST_2008_2009 OR_NorthCoast_2008-2009_001869,https://rockyweb.usgs.gov/vdelivery/Datasets/Staged/Elevation/LPC/Projects/legacy/OR_NORTHCOAST_2008_2009/LAZ/USGS_LPC_OR_NORTHCOAST_2008_2009_OR_NorthCoast_2008-2009_001869.laz,tillamook_probe/USGS_LPC_legacy,F:\LIDAR\oregon\probe_lidar\tillamook_probe\USGS_LPC_legacy\USGS_LPC_OR_NORTHCOAST_2008_2009_OR_NorthCoast_2008-2009_001869.laz,0,0.014487,failed,"HTTPSConnectionPool(host='rockyweb.usgs.gov', port=443): Max retries exceeded with url: /vdelivery/Datasets/Staged/Elevation/LPC/Projects/legacy/OR_NORTHCOAST_2008_2009/LAZ/USGS_LPC_OR_NORTHCOAST_2008_2009_OR_NorthCoast_2008-2009_001869.laz (Caused by NewConnectionError(""HTTPSConnection(host='rockyweb.usgs.gov', port=443): Failed to establish a new connection: [WinError 10013] An attempt was made to access a socket in a way forbidden by its access permissions""))"
