selection_rank,tile_name,selection_category,already_downloaded,size_bytes,size_gb,download_url,new_positive_polygon_count,positive_polygon_count,high_confidence_polygon_count,moderate_confidence_polygon_count,positive_intersection_m2,new_positive_intersection_m2,min_distance_to_existing_train_km,probe_accepted_patches_2m,probe_positive_patches_2m,probe_negative_patches_2m,probe_retained_polygon_count_2m,static_score,selection_reason,bbox_west,bbox_south,bbox_east,bbox_north
1,USGS_LPC_OR_WesternWildfires_A22_s05160w14070.laz,positive_diversity,True,176515682,0.176516,https://rockyweb.usgs.gov/vdelivery/Datasets/Staged/Elevation/LPC/Projects/OR_WesternWildfires_A22/OR_WWildfires_2_A22/LAZ/USGS_LPC_OR_WesternWildfires_A22_s05160w14070.laz,0,1,5,7,431031.391,0.0,0.0,100,76,21,9,40.5,positive_diversity; additional_new_polygons=0; selected_spatial_novelty_km=999.00; downloaded=yes,-123.6104186184,45.5684969837,-123.5982700568,45.5770290956
2,USGS_LPC_OR_WesternWildfires_A22_s05310w14160.laz,positive_diversity,True,258883787,0.258884,https://rockyweb.usgs.gov/vdelivery/Datasets/Staged/Elevation/LPC/Projects/OR_WesternWildfires_A22/OR_WWildfires_2_A22/LAZ/USGS_LPC_OR_WesternWildfires_A22_s05310w14160.laz,0,1,5,1,378707.005,0.0,4.86,100,81,12,6,39.3596,positive_diversity; additional_new_polygons=0; selected_spatial_novelty_km=5.33; downloaded=yes,-123.5531910639,45.5947039286,-123.5410448359,45.6032303943
5,USGS_LPC_OR_WesternWildfires_A22_s05310w14190.laz,positive_diversity,True,256960804,0.256961,https://rockyweb.usgs.gov/vdelivery/Datasets/Staged/Elevation/LPC/Projects/OR_WesternWildfires_A22/OR_WWildfires_2_A22/LAZ/USGS_LPC_OR_WesternWildfires_A22_s05310w14190.laz,0,1,3,1,430352.674,0.0,5.272,100,84,16,2,31.7723,positive_diversity; additional_new_polygons=0; selected_spatial_novelty_km=0.91; downloaded=yes,-123.5536268672,45.6029251217,-123.5414788466,45.6114515879
4,USGS_LPC_OR_WesternWildfires_A22_s05310w14100.laz,positive_diversity,True,134672603,0.134673,https://rockyweb.usgs.gov/vdelivery/Datasets/Staged/Elevation/LPC/Projects/OR_WesternWildfires_A22/OR_WWildfires_2_A22/LAZ/USGS_LPC_OR_WesternWildfires_A22_s05310w14100.laz,0,1,2,3,312876.581,0.0,4.502,100,66,34,3,31.5016,positive_diversity; additional_new_polygons=0; selected_spatial_novelty_km=1.83; downloaded=yes,-123.5523198302,45.5782614186,-123.5401771857,45.5867878827
61,USGS_LPC_OR_WesternWildfires_A22_s05310w14520.laz,hard_negative,True,217778127,0.217778,https://rockyweb.usgs.gov/vdelivery/Datasets/Staged/Elevation/LPC/Projects/OR_WesternWildfires_A22/OR_WWildfires_2_A22/LAZ/USGS_LPC_OR_WesternWildfires_A22_s05310w14520.laz,0,0,0,0,0.0,0.0,6.393,100,0,100,0,29.3932,hard_negative; additional_new_polygons=0; selected_spatial_novelty_km=10.05; downloaded=yes,-123.5584289235,45.6933554681,-123.54626115,45.7018819295
62,USGS_LPC_OR_WesternWildfires_A22_s05310w13800.laz,hard_negative,True,203939964,0.20394,https://rockyweb.usgs.gov/vdelivery/Datasets/Staged/Elevation/LPC/Projects/OR_WesternWildfires_A22/OR_WWildfires_2_A22/LAZ/USGS_LPC_OR_WesternWildfires_A22_s05310w13800.laz,0,0,0,0,0.0,0.0,5.801,100,0,100,0,28.8012,hard_negative; additional_new_polygons=0; selected_spatial_novelty_km=4.66; downloaded=yes,-123.5479711061,45.4960464369,-123.5358463475,45.5045728828
8,USGS_LPC_OR_WesternWildfires_A22_s05280w14190.laz,positive_diversity,True,213071990,0.213072,https://rockyweb.usgs.gov/vdelivery/Datasets/Staged/Elevation/LPC/Projects/OR_WesternWildfires_A22/OR_WWildfires_2_A22/LAZ/USGS_LPC_OR_WesternWildfires_A22_s05280w14190.laz,0,1,0,4,422595.427,0.0,4.517,100,70,26,4,28.5169,positive_diversity; additional_new_polygons=0; selected_spatial_novelty_km=0.91; downloaded=yes,-123.5653406329,45.6026186734,-123.5531910679,45.6111462704
3,USGS_LPC_OR_WesternWildfires_A22_s04410w13980.laz,positive_diversity,False,137817005,0.137817,https://rockyweb.usgs.gov/vdelivery/Datasets/Staged/Elevation/LPC/Projects/OR_WesternWildfires_A22/OR_WWildfires_2_A22/LAZ/USGS_LPC_OR_WesternWildfires_A22_s04410w13980.laz,0,1,4,6,61406.255,0.0,7.706,,,,,25.7058,positive_diversity; additional_new_polygons=0; selected_spatial_novelty_km=23.02; downloaded=no,-123.9015856432,45.5356817251,-123.8894041437,45.5442419954
10,USGS_LPC_OR_WesternWildfires_A22_s05220w14040.laz,positive_diversity,False,166036314,0.166036,https://rockyweb.usgs.gov/vdelivery/Datasets/Staged/Elevation/LPC/Projects/OR_WesternWildfires_A22/OR_WWildfires_2_A22/LAZ/USGS_LPC_OR_WesternWildfires_A22_s05220w14040.laz,0,1,4,10,262508.311,0.0,1.827,,,,,23.8267,positive_diversity; additional_new_polygons=0; selected_spatial_novelty_km=2.04; downloaded=no,-123.5865650008,45.5608965171,-123.5744213125,45.5694263682
12,USGS_LPC_OR_WesternWildfires_A22_s05160w14040.laz,positive_diversity,False,195360572,0.195361,https://rockyweb.usgs.gov/vdelivery/Datasets/Staged/Elevation/LPC/Projects/OR_WesternWildfires_A22/OR_WWildfires_2_A22/LAZ/USGS_LPC_OR_WesternWildfires_A22_s05160w14040.laz,0,1,5,9,311169.316,0.0,0.0,,,,,23.5,positive_diversity; additional_new_polygons=0; selected_spatial_novelty_km=0.91; downloaded=no,-123.6099749788,45.560275839,-123.5978282098,45.5688079488
