tile_name,reason
USGS_LPC_OR_WesternWildfires_A22_s04350w14040.laz,explicit_exclusion:dropped_split_buffer: footprint is 317.354 m from a differently assigned block (required > 500.000 m)
USGS_LPC_OR_WesternWildfires_A22_s04350w14070.laz,within_500m_of_frozen_validation
USGS_LPC_OR_WesternWildfires_A22_s04350w14100.laz,within_500m_of_frozen_validation
USGS_LPC_OR_WesternWildfires_A22_s04380w13950.laz,explicit_exclusion:RuntimeError: No ASPRS class-2 ground points in USGS_LPC_OR_WesternWildfires_A22_s04380w13950.laz
USGS_LPC_OR_WesternWildfires_A22_s04380w14040.laz,explicit_exclusion:dropped_split_buffer: footprint is 0.000 m from a differently assigned block (required > 500.000 m)
USGS_LPC_OR_WesternWildfires_A22_s04380w14070.laz,within_500m_of_frozen_validation
USGS_LPC_OR_WesternWildfires_A22_s04380w14100.laz,frozen_validation_tile
USGS_LPC_OR_WesternWildfires_A22_s04410w14040.laz,explicit_exclusion:dropped_split_buffer: footprint is 0.000 m from a differently assigned block (required > 500.000 m)
USGS_LPC_OR_WesternWildfires_A22_s04410w14070.laz,within_500m_of_frozen_validation
USGS_LPC_OR_WesternWildfires_A22_s04410w14100.laz,within_500m_of_frozen_validation
USGS_LPC_OR_WesternWildfires_A22_s04410w14130.laz,frozen_validation_tile
USGS_LPC_OR_WesternWildfires_A22_s04410w14160.laz,within_500m_of_frozen_validation
USGS_LPC_OR_WesternWildfires_A22_s04440w14100.laz,within_500m_of_frozen_validation
USGS_LPC_OR_WesternWildfires_A22_s04440w14130.laz,within_500m_of_frozen_validation
USGS_LPC_OR_WesternWildfires_A22_s04440w14160.laz,within_500m_of_frozen_validation
USGS_LPC_OR_WesternWildfires_A22_s04440w14190.laz,explicit_exclusion:dropped_split_buffer: footprint is 399.973 m from a differently assigned block (required > 500.000 m)
USGS_LPC_OR_WesternWildfires_A22_s04500w13920.laz,low_or_unknown_slido_overlap_only
USGS_LPC_OR_WesternWildfires_A22_s04530w13980.laz,low_or_unknown_slido_overlap_only
USGS_LPC_OR_WesternWildfires_A22_s04530w14250.laz,low_or_unknown_slido_overlap_only
USGS_LPC_OR_WesternWildfires_A22_s04560w14250.laz,low_or_unknown_slido_overlap_only
USGS_LPC_OR_WesternWildfires_A22_s04560w14280.laz,low_or_unknown_slido_overlap_only
USGS_LPC_OR_WesternWildfires_A22_s04560w14400.laz,already_in_frozen_train
USGS_LPC_OR_WesternWildfires_A22_s04590w14130.laz,low_or_unknown_slido_overlap_only
USGS_LPC_OR_WesternWildfires_A22_s04590w14160.laz,low_or_unknown_slido_overlap_only
USGS_LPC_OR_WesternWildfires_A22_s04590w14220.laz,low_or_unknown_slido_overlap_only
USGS_LPC_OR_WesternWildfires_A22_s04590w14250.laz,low_or_unknown_slido_overlap_only
USGS_LPC_OR_WesternWildfires_A22_s04590w14280.laz,low_or_unknown_slido_overlap_only
USGS_LPC_OR_WesternWildfires_A22_s04590w14400.laz,low_or_unknown_slido_overlap_only
USGS_LPC_OR_WesternWildfires_A22_s04620w13770.laz,already_in_frozen_train
USGS_LPC_OR_WesternWildfires_A22_s04620w13800.laz,low_or_unknown_slido_overlap_only
USGS_LPC_OR_WesternWildfires_A22_s04620w14130.laz,low_or_unknown_slido_overlap_only
USGS_LPC_OR_WesternWildfires_A22_s04620w14160.laz,low_or_unknown_slido_overlap_only
USGS_LPC_OR_WesternWildfires_A22_s04650w13830.laz,low_or_unknown_slido_overlap_only
USGS_LPC_OR_WesternWildfires_A22_s04650w14250.laz,low_or_unknown_slido_overlap_only
USGS_LPC_OR_WesternWildfires_A22_s04680w13320.laz,low_or_unknown_slido_overlap_only
USGS_LPC_OR_WesternWildfires_A22_s04680w13380.laz,already_in_frozen_train
USGS_LPC_OR_WesternWildfires_A22_s04680w14220.laz,low_or_unknown_slido_overlap_only
USGS_LPC_OR_WesternWildfires_A22_s04680w14250.laz,low_or_unknown_slido_overlap_only
USGS_LPC_OR_WesternWildfires_A22_s04680w14280.laz,low_or_unknown_slido_overlap_only
USGS_LPC_OR_WesternWildfires_A22_s04680w14490.laz,within_500m_of_frozen_validation
USGS_LPC_OR_WesternWildfires_A22_s04680w14520.laz,within_500m_of_frozen_validation
USGS_LPC_OR_WesternWildfires_A22_s04680w14550.laz,within_500m_of_frozen_validation
USGS_LPC_OR_WesternWildfires_A22_s04710w13800.laz,low_or_unknown_slido_overlap_only
USGS_LPC_OR_WesternWildfires_A22_s04710w14070.laz,low_or_unknown_slido_overlap_only
USGS_LPC_OR_WesternWildfires_A22_s04710w14100.laz,low_or_unknown_slido_overlap_only
USGS_LPC_OR_WesternWildfires_A22_s04710w14190.laz,low_or_unknown_slido_overlap_only
USGS_LPC_OR_WesternWildfires_A22_s04710w14490.laz,within_500m_of_frozen_validation
USGS_LPC_OR_WesternWildfires_A22_s04710w14520.laz,frozen_validation_tile
USGS_LPC_OR_WesternWildfires_A22_s04710w14550.laz,within_500m_of_frozen_validation
USGS_LPC_OR_WesternWildfires_A22_s04740w13410.laz,low_or_unknown_slido_overlap_only
USGS_LPC_OR_WesternWildfires_A22_s04740w13440.laz,low_or_unknown_slido_overlap_only
USGS_LPC_OR_WesternWildfires_A22_s04740w13800.laz,low_or_unknown_slido_overlap_only
USGS_LPC_OR_WesternWildfires_A22_s04740w14040.laz,low_or_unknown_slido_overlap_only
USGS_LPC_OR_WesternWildfires_A22_s04740w14070.laz,low_or_unknown_slido_overlap_only
