selection_rank,tile_name,selection_category,already_downloaded,size_bytes,size_gb,download_url,new_positive_polygon_count,positive_polygon_count,high_confidence_polygon_count,moderate_confidence_polygon_count,positive_intersection_m2,new_positive_intersection_m2,min_distance_to_existing_train_km,probe_accepted_patches_2m,probe_positive_patches_2m,probe_negative_patches_2m,probe_retained_polygon_count_2m,static_score,selection_reason,bbox_west,bbox_south,bbox_east,bbox_north
1,USGS_LPC_OR_WesternWildfires_A22_s05160w14070.laz,positive_diversity,True,176515682,0.176516,https://rockyweb.usgs.gov/vdelivery/Datasets/Staged/Elevation/LPC/Projects/OR_WesternWildfires_A22/OR_WWildfires_2_A22/LAZ/USGS_LPC_OR_WesternWildfires_A22_s05160w14070.laz,0,1,5,7,431031.391,0.0,0.0,100,76,21,9,40.5,positive_diversity; additional_new_polygons=0; selected_spatial_novelty_km=999.00; downloaded=yes,-123.6104186184,45.5684969837,-123.5982700568,45.5770290956
2,USGS_LPC_OR_WesternWildfires_A22_s05310w14160.laz,positive_diversity,True,258883787,0.258884,https://rockyweb.usgs.gov/vdelivery/Datasets/Staged/Elevation/LPC/Projects/OR_WesternWildfires_A22/OR_WWildfires_2_A22/LAZ/USGS_LPC_OR_WesternWildfires_A22_s05310w14160.laz,0,1,5,1,378707.005,0.0,4.86,100,81,12,6,39.3596,positive_diversity; additional_new_polygons=0; selected_spatial_novelty_km=5.33; downloaded=yes,-123.5531910639,45.5947039286,-123.5410448359,45.6032303943
3,USGS_LPC_OR_WesternWildfires_A22_s04410w13980.laz,positive_diversity,False,137817005,0.137817,https://rockyweb.usgs.gov/vdelivery/Datasets/Staged/Elevation/LPC/Projects/OR_WesternWildfires_A22/OR_WWildfires_2_A22/LAZ/USGS_LPC_OR_WesternWildfires_A22_s04410w13980.laz,0,1,4,6,61406.255,0.0,7.706,,,,,25.7058,positive_diversity; additional_new_polygons=0; selected_spatial_novelty_km=23.02; downloaded=no,-123.9015856432,45.5356817251,-123.8894041437,45.5442419954
4,USGS_LPC_OR_WesternWildfires_A22_s05310w14100.laz,positive_diversity,True,134672603,0.134673,https://rockyweb.usgs.gov/vdelivery/Datasets/Staged/Elevation/LPC/Projects/OR_WesternWildfires_A22/OR_WWildfires_2_A22/LAZ/USGS_LPC_OR_WesternWildfires_A22_s05310w14100.laz,0,1,2,3,312876.581,0.0,4.502,100,66,34,3,31.5016,positive_diversity; additional_new_polygons=0; selected_spatial_novelty_km=1.83; downloaded=yes,-123.5523198302,45.5782614186,-123.5401771857,45.5867878827
5,USGS_LPC_OR_WesternWildfires_A22_s05310w14190.laz,positive_diversity,True,256960804,0.256961,https://rockyweb.usgs.gov/vdelivery/Datasets/Staged/Elevation/LPC/Projects/OR_WesternWildfires_A22/OR_WWildfires_2_A22/LAZ/USGS_LPC_OR_WesternWildfires_A22_s05310w14190.laz,0,1,3,1,430352.674,0.0,5.272,100,84,16,2,31.7723,positive_diversity; additional_new_polygons=0; selected_spatial_novelty_km=0.91; downloaded=yes,-123.5536268672,45.6029251217,-123.5414788466,45.6114515879
6,USGS_LPC_OR_WesternWildfires_A22_s05160w13590.laz,positive_diversity,True,174189063,0.174189,https://rockyweb.usgs.gov/vdelivery/Datasets/Staged/Elevation/LPC/Projects/OR_WesternWildfires_A22/OR_WWildfires_2_A22/LAZ/USGS_LPC_OR_WesternWildfires_A22_s05160w13590.laz,0,1,1,1,335320.858,0.0,0.845,93,67,24,2,21.785,positive_diversity; additional_new_polygons=0; selected_spatial_novelty_km=14.62; downloaded=yes,-123.6033355323,45.4369538839,-123.5912155882,45.4454859435
7,USGS_LPC_OR_WesternWildfires_A22_s04860w13710.laz,positive_diversity,False,216487368,0.216487,https://rockyweb.usgs.gov/vdelivery/Datasets/Staged/Elevation/LPC/Projects/OR_WesternWildfires_A22/OR_WWildfires_2_A22/LAZ/USGS_LPC_OR_WesternWildfires_A22_s04860w13710.laz,0,1,4,6,147221.42,0.0,5.271,,,,,23.2708,positive_diversity; additional_new_polygons=0; selected_spatial_novelty_km=9.84; downloaded=no,-123.7219625315,45.4666717049,-123.7098201195,45.475215047
8,USGS_LPC_OR_WesternWildfires_A22_s05280w14190.laz,positive_diversity,True,213071990,0.213072,https://rockyweb.usgs.gov/vdelivery/Datasets/Staged/Elevation/LPC/Projects/OR_WesternWildfires_A22/OR_WWildfires_2_A22/LAZ/USGS_LPC_OR_WesternWildfires_A22_s05280w14190.laz,0,1,0,4,422595.427,0.0,4.517,100,70,26,4,28.5169,positive_diversity; additional_new_polygons=0; selected_spatial_novelty_km=0.91; downloaded=yes,-123.5653406329,45.6026186734,-123.5531910679,45.6111462704
9,USGS_LPC_OR_WesternWildfires_A22_s04470w14190.laz,positive_diversity,False,132418689,0.132419,https://rockyweb.usgs.gov/vdelivery/Datasets/Staged/Elevation/LPC/Projects/OR_WesternWildfires_A22/OR_WWildfires_2_A22/LAZ/USGS_LPC_OR_WesternWildfires_A22_s04470w14190.laz,0,1,3,5,57848.202,0.0,5.761,,,,,20.2606,positive_diversity; additional_new_polygons=0; selected_spatial_novelty_km=6.65; downloaded=no,-123.8815635595,45.593901315,-123.8693724979,45.602459374
10,USGS_LPC_OR_WesternWildfires_A22_s05220w14040.laz,positive_diversity,False,166036314,0.166036,https://rockyweb.usgs.gov/vdelivery/Datasets/Staged/Elevation/LPC/Projects/OR_WesternWildfires_A22/OR_WWildfires_2_A22/LAZ/USGS_LPC_OR_WesternWildfires_A22_s05220w14040.laz,0,1,4,10,262508.311,0.0,1.827,,,,,23.8267,positive_diversity; additional_new_polygons=0; selected_spatial_novelty_km=2.04; downloaded=no,-123.5865650008,45.5608965171,-123.5744213125,45.5694263682
11,USGS_LPC_OR_WesternWildfires_A22_s04710w13410.laz,positive_diversity,False,141018934,0.141019,https://rockyweb.usgs.gov/vdelivery/Datasets/Staged/Elevation/LPC/Projects/OR_WesternWildfires_A22/OR_WWildfires_2_A22/LAZ/USGS_LPC_OR_WesternWildfires_A22_s04710w13410.laz,0,1,3,5,44583.873,0.0,0.0,,,,,14.5,positive_diversity; additional_new_polygons=0; selected_spatial_novelty_km=10.22; downloaded=no,-123.7757229451,45.3828320588,-123.7635907906,45.391380956
