group_by,split,metric,count,min,p10,p25,median,p75,p90,max,mean,std
split,train,positive_fraction,513,0.0,0.0,0.0,0.0343017578125,0.480056762695,0.853451538086,1.0,0.25203319646228284,0.33295692705627966
split,train,ignore_fraction,513,0.0,0.0,0.0,0.00764465332031,0.135009765625,0.1741241455078,0.983810424805,0.09313132005362122,0.15953804871409932
split,train,ground_fraction,513,0.2000885009765625,0.2091339111328125,0.220855712890625,0.24761962890625,0.282867431640625,0.3101409912109375,0.41741943359375,0.25572966042085465,0.04214314342315331
split,train,mean_slope_degrees,513,1.7838722467422485,13.596562957763672,18.798439025878906,25.002914428710938,31.71982192993164,36.611837005615236,43.53438949584961,25.087583279051977,8.753745743412166
split,train,distance_to_positive_m,473,0.0,0.0,0.0,0.0,238.5,510.68082656136767,1351.4001072961332,156.4154287369888,252.77967601134034
split,train,boundary_pixel_fraction,513,0.0,0.0,0.0,0.00105285644531,0.00483703613281,0.006161499023438,0.0115966796875,0.0024492289820144896,0.0027363463257181926
split,train,boundary_of_positive_fraction,513,0.0,0.0,0.0,0.00106096717152,0.0138969508656,0.03516080427576,0.173359451518,0.01197885194562853,0.021903581328274812
split,validation,positive_fraction,54,0.0,0.0,0.0,0.0,0.008480072021475,0.16187591552710007,0.547592163086,0.041454456470635184,0.10763745314451313
split,validation,ignore_fraction,54,0.0,0.0,0.0,0.0,0.05152130126955,0.7648162841798002,0.988693237305,0.16306333188658148,0.3175590535485721
split,validation,ground_fraction,54,0.2002105712890625,0.21065673828125,0.214202880859375,0.2291259765625,0.2600059509277344,0.33251495361328126,0.43084716796875,0.2491243150499132,0.05263348273198778
split,validation,mean_slope_degrees,54,5.121443271636963,10.66587018966675,20.41059637069702,24.39520835876465,29.874328136444092,35.11036491394043,40.15520095825195,24.069242874781292,8.946402409830865
split,validation,distance_to_positive_m,54,0.0,0.0,18.375,269.86501509373926,530.3875028466912,932.9476009376032,1302.7541018933696,363.5587264772901,359.04278166936814
split,validation,boundary_pixel_fraction,54,0.0,0.0,0.0,0.0,0.0010643005371075,0.004878234863283005,0.0109405517578,0.0012647840711801851,0.002647232010709139
split,validation,boundary_of_positive_fraction,54,0.0,0.0,0.0,0.0,0.013230970271175,0.05420807620721003,0.146318732526,0.014999009100981483,0.03233288145441846
split+category,train,positive_fraction,241,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
split+category,train,ignore_fraction,241,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
split+category,train,ground_fraction,241,0.200286865234375,0.2108612060546875,0.226043701171875,0.2606353759765625,0.2974090576171875,0.3380279541015625,0.41741943359375,0.26822070363151584,0.049308575887923964
split+category,train,mean_slope_degrees,241,1.7838722467422485,12.049221992492676,18.798439025878906,28.603761672973633,35.610679626464844,38.460514068603516,43.53438949584961,26.662099603300767,10.343530752584622
split+category,train,distance_to_positive_m,201,50.93378053904894,96.0,174.7741399635541,287.11191197858716,505.5,741.9437310200822,1351.4001072961332,368.08207857012775,269.17505512429256
split+category,train,boundary_pixel_fraction,241,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
split+category,train,boundary_of_positive_fraction,241,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
split+category,train,positive_fraction,42,0.010009765625,0.01564025878905,0.024677276611325,0.042991638183599995,0.058467864990274995,0.08546752929685,0.0931549072266,0.04513150169735953,0.02468644692737434
split+category,train,ignore_fraction,42,0.0455474853516,0.060649108886760006,0.075946807861325,0.0894775390625,0.13209152221700002,0.9283416748047996,0.983810424805,0.21370333716987147,0.2938608032016865
split+category,train,ground_fraction,42,0.2076873779296875,0.2090423583984375,0.21729278564453125,0.2368011474609375,0.2616462707519531,0.28919219970703125,0.30517578125,0.24231138683500744,0.02965267184770003
split+category,train,mean_slope_degrees,42,10.21092414855957,13.112643241882324,19.21140480041504,24.52661895751953,28.498103618621826,32.51643371582031,36.0598258972168,24.00415238879976,6.9162215917414125
split+category,train,distance_to_positive_m,42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
split+category,train,boundary_pixel_fraction,42,0.0010986328125,0.001440429687504,0.0019149780273449999,0.00257873535156,0.0030136108398475,0.0037033081054689996,0.00473022460938,0.002587817964099762,0.0008782254180958421
split+category,train,boundary_of_positive_fraction,42,0.0307033202428,0.036214401472319996,0.0471920956675,0.0670178686603,0.08419309126760001,0.10849044997387998,0.173359451518,0.07049109171016191,0.030827329477143478
split+category,train,positive_fraction,230,0.101440429688,0.1811416625973,0.30603027343725,0.544662475586,0.83043670654275,0.9478027343754001,1.0,0.5539022031037478,0.2857528135488963
split+category,train,ignore_fraction,230,0.0,0.05187377929687001,0.105937957764,0.1357192993165,0.155395507812,0.32358703613309986,0.829376220703,0.16869924794075256,0.15345163889518892
split+category,train,ground_fraction,230,0.2000885009765625,0.2081634521484375,0.21820068359375,0.2417755126953125,0.2671623229980469,0.28749237060546873,0.3447723388671875,0.24509151292883832,0.030718611093820777
