split,tile_name,patches,positive_patches,negative_patches,positive_patch_fraction,unique_positive_polygon_keys,hard_negatives,boundary_patches,mean_positive_fraction,mean_ignore_fraction,mean_slope_degrees
train,USGS_LPC_OR_WesternWildfires_A22_s04560w14400.laz,72,38,34,0.5277777777777778,2,33,38,0.25225490993924726,0.061660766601590415,15.628053459856245
train,USGS_LPC_OR_WesternWildfires_A22_s04620w13770.laz,40,14,26,0.35,4,26,13,0.13710784912109747,0.03655586242677063,20.398240208625793
train,USGS_LPC_OR_WesternWildfires_A22_s04680w13380.laz,33,13,20,0.3939393939393939,3,5,13,0.2014923095702697,0.040691491329302575,14.514989018440247
train,USGS_LPC_OR_WesternWildfires_A22_s04770w14130.laz,10,0,10,0.0,0,10,0,0.0,0.0,35.31448516845703
train,USGS_LPC_OR_WesternWildfires_A22_s04950w13260.laz,10,0,10,0.0,0,10,0,0.0,0.0,38.527693557739255
train,USGS_LPC_OR_WesternWildfires_A22_s04980w14280.laz,10,0,10,0.0,0,10,0,0.0,0.0,37.22920951843262
train,USGS_LPC_OR_WesternWildfires_A22_s05040w13830.laz,80,55,25,0.6875,1,25,55,0.3211933135986338,0.17299232482914081,28.066479802131653
train,USGS_LPC_OR_WesternWildfires_A22_s05070w13830.laz,65,54,11,0.8307692307692308,4,11,52,0.4193885216345677,0.1066486065204123,24.49725805429312
train,USGS_LPC_OR_WesternWildfires_A22_s05070w14550.laz,10,0,10,0.0,0,10,0,0.0,0.0,35.732462882995605
train,USGS_LPC_OR_WesternWildfires_A22_s05100w13680.laz,25,23,2,0.92,3,2,21,0.44557006835943197,0.20651733398436,22.82778999328613
train,USGS_LPC_OR_WesternWildfires_A22_s05130w13650.laz,39,15,24,0.38461538461538464,3,24,13,0.1567425850109718,0.037269396659671786,21.721162306956757
train,USGS_LPC_OR_WesternWildfires_A22_s05130w14070.laz,81,36,45,0.4444444444444444,1,45,36,0.23892965434508887,0.05076052818772099,33.30525591344009
train,USGS_LPC_OR_WesternWildfires_A22_s05160w13530.laz,38,24,14,0.631578947368421,2,14,22,0.2483126991673421,0.2376881649619921,27.067411824276572
validation,USGS_LPC_OR_WesternWildfires_A22_s04380w14100.laz,10,0,10,0.0,0,10,0,0.0,0.0,23.585241889953615
validation,USGS_LPC_OR_WesternWildfires_A22_s04410w14130.laz,11,1,10,0.09090909090909091,1,10,1,0.013569224964454545,0.009532581676181819,26.846453753384676
validation,USGS_LPC_OR_WesternWildfires_A22_s04710w14520.laz,33,13,20,0.3939393939393939,2,15,13,0.06331149014561514,0.263653379498103,23.290172880346123
